"ID" "Model" "type" "value"
"1" "res_points" "MSE" "2.73170437676743"
"1" "res_points" "MAE" "1.19434433897261"
"1" "res_points" "elpd" "0.376767126008437"
"1" "res_points" "WD" "3.6855495870687"
"1" "resPS_points" "MSE" "5.21406068685439"
"1" "resPS_points" "MAE" "1.69740850176628"
"1" "resPS_points" "elpd" "33.9280444661006"
"1" "resPS_points" "WD" "6.2557544304542"
"1" "res_pointsareas" "MSE" "2.35967246187585"
"1" "res_pointsareas" "MAE" "1.13514626162292"
"1" "res_pointsareas" "elpd" "0.388453070027682"
"1" "res_pointsareas" "WD" "3.16751740827135"
"1" "resPS_pointsareas" "MSE" "2.68409551767448"
"1" "resPS_pointsareas" "MAE" "1.25314370824399"
"1" "resPS_pointsareas" "elpd" "30.0592465522694"
"1" "resPS_pointsareas" "WD" "3.22869247605878"
"2" "res_points" "MSE" "1.88686132883715"
"2" "res_points" "MAE" "1.01639386111054"
"2" "res_points" "elpd" "0.315209539097582"
"2" "res_points" "WD" "3.28752696073795"
"2" "resPS_points" "MSE" "6.91504302351609"
"2" "resPS_points" "MAE" "2.13621620822378"
"2" "resPS_points" "elpd" "75.9667961992635"
"2" "resPS_points" "WD" "7.19375827383907"
"2" "res_pointsareas" "MSE" "1.54404246484612"
"2" "res_pointsareas" "MAE" "0.935596286473865"
"2" "res_pointsareas" "elpd" "0.321266197221553"
"2" "res_pointsareas" "WD" "2.81250419235607"
"2" "resPS_pointsareas" "MSE" "3.96917749103651"
"2" "resPS_pointsareas" "MAE" "1.56854926534984"
"2" "resPS_pointsareas" "elpd" "60.649693349387"
"2" "resPS_pointsareas" "WD" "4.34007869737718"
"3" "res_points" "MSE" "1.7255792171738"
"3" "res_points" "MAE" "0.879189073983529"
"3" "res_points" "elpd" "0.334535354102776"
"3" "res_points" "WD" "2.85438264453574"
"3" "resPS_points" "MSE" "10.2832249253288"
"3" "resPS_points" "MAE" "2.76779550339118"
"3" "resPS_points" "elpd" "158.18729753252"
"3" "resPS_points" "WD" "11.2883576958272"
"3" "res_pointsareas" "MSE" "1.33891482415615"
"3" "res_pointsareas" "MAE" "0.815819423338505"
"3" "res_pointsareas" "elpd" "0.338161575885387"
"3" "res_pointsareas" "WD" "1.99839690056077"
"3" "resPS_pointsareas" "MSE" "8.35809175019375"
"3" "resPS_pointsareas" "MAE" "2.43573682149915"
"3" "resPS_pointsareas" "elpd" "136.996380574751"
"3" "resPS_pointsareas" "WD" "8.81023580303973"
"4" "res_points" "MSE" "1.13372372986412"
"4" "res_points" "MAE" "0.829709096475288"
"4" "res_points" "elpd" "0.312063652865667"
"4" "res_points" "WD" "1.91220788819449"
"4" "resPS_points" "MSE" "3.58813213091655"
"4" "resPS_points" "MAE" "1.32878998433957"
"4" "resPS_points" "elpd" "22.5578401096323"
"4" "resPS_points" "WD" "4.43283670431503"
"4" "res_pointsareas" "MSE" "1.08726813999087"
"4" "res_pointsareas" "MAE" "0.813037768091785"
"4" "res_pointsareas" "elpd" "0.321175464891742"
"4" "res_pointsareas" "WD" "1.72909425693104"
"4" "resPS_pointsareas" "MSE" "1.79160071456491"
"4" "resPS_pointsareas" "MAE" "0.99093721409948"
"4" "resPS_pointsareas" "elpd" "21.7453304042995"
"4" "resPS_pointsareas" "WD" "2.399551120617"
"5" "res_points" "MSE" "1.67971944067006"
"5" "res_points" "MAE" "1.0011123256694"
"5" "res_points" "elpd" "0.356715976539367"
"5" "res_points" "WD" "2.88482346298121"
"5" "resPS_points" "MSE" "114.487771897094"
"5" "resPS_points" "MAE" "5.08045976757905"
"5" "resPS_points" "elpd" "144.793171969643"
"5" "resPS_points" "WD" "128.077342734493"
"5" "res_pointsareas" "MSE" "1.38643789070487"
"5" "res_pointsareas" "MAE" "0.911750017023953"
"5" "res_pointsareas" "elpd" "0.364494183232511"
"5" "res_pointsareas" "WD" "2.26391435022422"
"5" "resPS_pointsareas" "MSE" "4.45796329389991"
"5" "resPS_pointsareas" "MAE" "1.7361694383719"
"5" "resPS_pointsareas" "elpd" "128.95938228091"
"5" "resPS_pointsareas" "WD" "4.75082043137392"
"6" "res_points" "MSE" "1.14569771136835"
"6" "res_points" "MAE" "0.816688200301018"
"6" "res_points" "elpd" "0.359941867218414"
"6" "res_points" "WD" "2.20861080691768"
"6" "resPS_points" "MSE" "26.7711368496426"
"6" "resPS_points" "MAE" "4.00584697786618"
"6" "resPS_points" "elpd" "62.9446501436294"
"6" "resPS_points" "WD" "29.7533257429103"
"6" "res_pointsareas" "MSE" "0.947509298980571"
"6" "res_pointsareas" "MAE" "0.75750445431636"
"6" "res_pointsareas" "elpd" "0.365135530907222"
"6" "res_pointsareas" "WD" "1.77568876559215"
"6" "resPS_pointsareas" "MSE" "4.98489537787957"
"6" "resPS_pointsareas" "MAE" "1.76230990016714"
"6" "resPS_pointsareas" "elpd" "67.5375461468459"
"6" "resPS_pointsareas" "WD" "5.39098900659645"
"7" "res_points" "MSE" "1.62962737993643"
"7" "res_points" "MAE" "0.943768596170682"
"7" "res_points" "elpd" "0.277674036741649"
"7" "res_points" "WD" "2.86906443770083"
"7" "resPS_points" "MSE" "12.5831988396684"
"7" "resPS_points" "MAE" "2.52006391464359"
"7" "resPS_points" "elpd" "29.0867376676443"
"7" "resPS_points" "WD" "13.7823773072609"
"7" "res_pointsareas" "MSE" "1.27701482625262"
"7" "res_pointsareas" "MAE" "0.853501253121131"
"7" "res_pointsareas" "elpd" "0.286370735594355"
"7" "res_pointsareas" "WD" "2.33716585232543"
"7" "resPS_pointsareas" "MSE" "6.79315896987588"
"7" "resPS_pointsareas" "MAE" "1.92877074476886"
"7" "resPS_pointsareas" "elpd" "28.4176166702515"
"7" "resPS_pointsareas" "WD" "7.45986115533344"
"8" "res_points" "MSE" "1.74542120637186"
"8" "res_points" "MAE" "1.00804803570778"
"8" "res_points" "elpd" "0.24186008893715"
"8" "res_points" "WD" "3.09261815916901"
"8" "resPS_points" "MSE" "9.16531667028917"
"8" "resPS_points" "MAE" "2.25535238991277"
"8" "resPS_points" "elpd" "33.3292290681272"
"8" "resPS_points" "WD" "10.4682131631241"
"8" "res_pointsareas" "MSE" "1.64750331947558"
"8" "res_pointsareas" "MAE" "0.97812937210402"
"8" "res_pointsareas" "elpd" "0.247686886934938"
"8" "res_pointsareas" "WD" "2.76967333453579"
"8" "resPS_pointsareas" "MSE" "4.7086862977811"
"8" "resPS_pointsareas" "MAE" "1.57925205846136"
"8" "resPS_pointsareas" "elpd" "27.7135195484557"
"8" "resPS_pointsareas" "WD" "5.48933697459685"
"9" "res_points" "MSE" "3.21044038465384"
"9" "res_points" "MAE" "1.31625292423247"
"9" "res_points" "elpd" "0.342766880101404"
"9" "res_points" "WD" "4.71740503228815"
"9" "resPS_points" "MSE" "9.00373034199702"
"9" "resPS_points" "MAE" "2.24932783344634"
"9" "resPS_points" "elpd" "149.092762663104"
"9" "resPS_points" "WD" "9.52969401435628"
"9" "res_pointsareas" "MSE" "2.5553660567294"
"9" "res_pointsareas" "MAE" "1.18800870225644"
"9" "res_pointsareas" "elpd" "0.339989338484163"
"9" "res_pointsareas" "WD" "3.61619248503043"
"9" "resPS_pointsareas" "MSE" "6.35034354692376"
"9" "resPS_pointsareas" "MAE" "1.91292898229231"
"9" "resPS_pointsareas" "elpd" "145.331025693641"
"9" "resPS_pointsareas" "WD" "6.68030613154634"
"10" "res_points" "MSE" "2.40633270047557"
"10" "res_points" "MAE" "1.15087640686512"
"10" "res_points" "elpd" "0.33913837069377"
"10" "res_points" "WD" "3.34408863666784"
"10" "resPS_points" "MSE" "15.7336822789514"
"10" "resPS_points" "MAE" "2.92839658777663"
"10" "resPS_points" "elpd" "32.6610833107409"
"10" "resPS_points" "WD" "17.0031221521481"
"10" "res_pointsareas" "MSE" "1.75903676547701"
"10" "res_pointsareas" "MAE" "1.0227902316382"
"10" "res_pointsareas" "elpd" "0.339633350567088"
"10" "res_pointsareas" "WD" "2.48940328789834"
"10" "resPS_pointsareas" "MSE" "5.79327867760786"
"10" "resPS_pointsareas" "MAE" "1.82997825449956"
"10" "resPS_pointsareas" "elpd" "38.6812994580959"
"10" "resPS_pointsareas" "WD" "6.121953473538"
"11" "res_points" "MSE" "2.76978337989347"
"11" "res_points" "MAE" "1.31842929908504"
"11" "res_points" "elpd" "0.325604315577596"
"11" "res_points" "WD" "4.30107626556649"
"11" "resPS_points" "MSE" "4.28227274197662"
"11" "resPS_points" "MAE" "1.6504342599267"
"11" "resPS_points" "elpd" "148.544063853747"
"11" "resPS_points" "WD" "5.26622800180688"
"11" "res_pointsareas" "MSE" "1.44826002065722"
"11" "res_pointsareas" "MAE" "0.947972918275154"
"11" "res_pointsareas" "elpd" "0.3279870059804"
"11" "res_pointsareas" "WD" "2.72523390840589"
"11" "resPS_pointsareas" "MSE" "2.74445183630736"
"11" "resPS_pointsareas" "MAE" "1.27391544946618"
"11" "resPS_pointsareas" "elpd" "131.354923623319"
"11" "resPS_pointsareas" "WD" "3.12144850585027"
"12" "res_points" "MSE" "1.39019172445239"
"12" "res_points" "MAE" "0.917732091942117"
"12" "res_points" "elpd" "0.368551158807857"
"12" "res_points" "WD" "1.82825261358116"
"12" "resPS_points" "MSE" "8.11426279441655"
"12" "resPS_points" "MAE" "2.05320963286339"
"12" "resPS_points" "elpd" "34.7830659783541"
"12" "resPS_points" "WD" "8.74908913229541"
"12" "res_pointsareas" "MSE" "1.16941248043405"
"12" "res_pointsareas" "MAE" "0.845703759132147"
"12" "res_pointsareas" "elpd" "0.37282469275754"
"12" "res_pointsareas" "WD" "1.6009574455254"
"12" "resPS_pointsareas" "MSE" "4.08389538074147"
"12" "resPS_pointsareas" "MAE" "1.52836550958885"
"12" "resPS_pointsareas" "elpd" "34.5541737199096"
"12" "resPS_pointsareas" "WD" "4.39811257334937"
"13" "res_points" "MSE" "1.0464618553123"
"13" "res_points" "MAE" "0.774616706535566"
"13" "res_points" "elpd" "0.308947296044335"
"13" "res_points" "WD" "1.5828971118048"
"13" "resPS_points" "MSE" "2.60402839298812"
"13" "resPS_points" "MAE" "1.2945453806806"
"13" "resPS_points" "elpd" "39.8119836922696"
"13" "resPS_points" "WD" "2.88352633925117"
"13" "res_pointsareas" "MSE" "0.938314048140713"
"13" "res_pointsareas" "MAE" "0.734373329103009"
"13" "res_pointsareas" "elpd" "0.318465916040569"
"13" "res_pointsareas" "WD" "1.43255544582872"
"13" "resPS_pointsareas" "MSE" "2.38246974227224"
"13" "resPS_pointsareas" "MAE" "1.23013225503656"
"13" "resPS_pointsareas" "elpd" "38.8465422565577"
"13" "resPS_pointsareas" "WD" "2.64582203241422"
"14" "res_points" "MSE" "1.68033648755731"
"14" "res_points" "MAE" "0.92828240152326"
"14" "res_points" "elpd" "0.364733930911892"
"14" "res_points" "WD" "2.47303402255219"
"14" "resPS_points" "MSE" "8.42383548124887"
"14" "resPS_points" "MAE" "2.12885513045026"
"14" "resPS_points" "elpd" "25.2960957278633"
"14" "resPS_points" "WD" "9.3697185030844"
"14" "res_pointsareas" "MSE" "1.25144061106245"
"14" "res_pointsareas" "MAE" "0.826482074166735"
"14" "res_pointsareas" "elpd" "0.368514629026172"
"14" "res_pointsareas" "WD" "1.96015533943426"
"14" "resPS_pointsareas" "MSE" "3.24823768556049"
"14" "resPS_pointsareas" "MAE" "1.29750635353845"
"14" "resPS_pointsareas" "elpd" "20.1887870931604"
"14" "resPS_pointsareas" "WD" "3.88150626542166"
"15" "res_points" "MSE" "1.36818448916047"
"15" "res_points" "MAE" "0.89499338802067"
"15" "res_points" "elpd" "0.316545367685611"
"15" "res_points" "WD" "2.38509518557103"
"15" "resPS_points" "MSE" "3.36755934331217"
"15" "resPS_points" "MAE" "1.35296765794123"
"15" "resPS_points" "elpd" "70.1054312461839"
"15" "resPS_points" "WD" "3.70435232839088"
"15" "res_pointsareas" "MSE" "1.30761651226339"
"15" "res_pointsareas" "MAE" "0.878433514092607"
"15" "res_pointsareas" "elpd" "0.326960429871682"
"15" "res_pointsareas" "WD" "2.20894345984058"
"15" "resPS_pointsareas" "MSE" "2.82050547653637"
"15" "resPS_pointsareas" "MAE" "1.22729544734591"
"15" "resPS_pointsareas" "elpd" "71.5952849075452"
"15" "resPS_pointsareas" "WD" "3.10477969785864"
"16" "res_points" "MSE" "1.18254984078999"
"16" "res_points" "MAE" "0.864761060479022"
"16" "res_points" "elpd" "0.413624775474328"
"16" "res_points" "WD" "2.29248601780881"
"16" "resPS_points" "MSE" "6.46038701844351"
"16" "resPS_points" "MAE" "2.11694143884213"
"16" "resPS_points" "elpd" "133.539534617529"
"16" "resPS_points" "WD" "6.89414585979315"
"16" "res_pointsareas" "MSE" "1.06266250352198"
"16" "res_pointsareas" "MAE" "0.811964067896071"
"16" "res_pointsareas" "elpd" "0.422020383158576"
"16" "res_pointsareas" "WD" "1.95324276080444"
"16" "resPS_pointsareas" "MSE" "4.81672758147888"
"16" "resPS_pointsareas" "MAE" "1.81861351666289"
"16" "resPS_pointsareas" "elpd" "158.163670802541"
"16" "resPS_pointsareas" "WD" "5.12404275301568"
"17" "res_points" "MSE" "4.72942777054364"
"17" "res_points" "MAE" "1.49671609249729"
"17" "res_points" "elpd" "0.372019634638072"
"17" "res_points" "WD" "5.80314998689726"
"17" "resPS_points" "MSE" "10.6597863597074"
"17" "resPS_points" "MAE" "2.53874472144242"
"17" "resPS_points" "elpd" "99.0814346565391"
"17" "resPS_points" "WD" "10.9620342469858"
"17" "res_pointsareas" "MSE" "1.79838919318997"
"17" "res_pointsareas" "MAE" "1.01125066069879"
"17" "res_pointsareas" "elpd" "0.370192714751181"
"17" "res_pointsareas" "WD" "2.73809013471624"
"17" "resPS_pointsareas" "MSE" "1.86743180760849"
"17" "resPS_pointsareas" "MAE" "1.03829695253737"
"17" "resPS_pointsareas" "elpd" "17.6060499966547"
"17" "resPS_pointsareas" "WD" "2.88936097613779"
"18" "res_points" "MSE" "1.33320346198732"
"18" "res_points" "MAE" "0.860255143805972"
"18" "res_points" "elpd" "0.307099265071588"
"18" "res_points" "WD" "2.10993054772933"
"18" "resPS_points" "MSE" "1.74287888386766"
"18" "resPS_points" "MAE" "1.04820356621407"
"18" "resPS_points" "elpd" "68.7715709073923"
"18" "resPS_points" "WD" "2.08883535214787"
"18" "res_pointsareas" "MSE" "1.0243655473742"
"18" "res_pointsareas" "MAE" "0.769105334871066"
"18" "res_pointsareas" "elpd" "0.316142475548678"
"18" "res_pointsareas" "WD" "1.72595947155167"
"18" "resPS_pointsareas" "MSE" "1.53616231301377"
"18" "resPS_pointsareas" "MAE" "0.977246932264446"
"18" "resPS_pointsareas" "elpd" "68.3889568392605"
"18" "resPS_pointsareas" "WD" "1.84492072775066"
"19" "res_points" "MSE" "1.25964144046838"
"19" "res_points" "MAE" "0.838011846218321"
"19" "res_points" "elpd" "0.327533150284897"
"19" "res_points" "WD" "2.2596311765401"
"19" "resPS_points" "MSE" "7.62816998907826"
"19" "resPS_points" "MAE" "1.94750231816453"
"19" "resPS_points" "elpd" "42.470842500869"
"19" "resPS_points" "WD" "8.46723908666398"
"19" "res_pointsareas" "MSE" "1.11617508795104"
"19" "res_pointsareas" "MAE" "0.794036716078179"
"19" "res_pointsareas" "elpd" "0.336452432825872"
"19" "res_pointsareas" "WD" "1.89635030678636"
"19" "resPS_pointsareas" "MSE" "3.38276310447604"
"19" "resPS_pointsareas" "MAE" "1.37415397588153"
"19" "resPS_pointsareas" "elpd" "40.7138168830402"
"19" "resPS_pointsareas" "WD" "3.8253102925766"
"20" "res_points" "MSE" "1.7146498415399"
"20" "res_points" "MAE" "0.958876828479221"
"20" "res_points" "elpd" "0.335846578081259"
"20" "res_points" "WD" "3.2078600385323"
"20" "resPS_points" "MSE" "20.5353993777929"
"20" "resPS_points" "MAE" "3.40514088912688"
"20" "resPS_points" "elpd" "30.0320337656136"
"20" "resPS_points" "WD" "23.5116132301866"
"20" "res_pointsareas" "MSE" "1.4270795767899"
"20" "res_pointsareas" "MAE" "0.885049602304604"
"20" "res_pointsareas" "elpd" "0.342686764033531"
"20" "res_pointsareas" "WD" "2.67076403288285"
"20" "resPS_pointsareas" "MSE" "5.19813496683029"
"20" "resPS_pointsareas" "MAE" "1.67669135821753"
"20" "resPS_pointsareas" "elpd" "25.6863432376552"
"20" "resPS_pointsareas" "WD" "5.97961537608848"
"21" "res_points" "MSE" "2.26136633422755"
"21" "res_points" "MAE" "1.12119250438949"
"21" "res_points" "elpd" "0.366987078232051"
"21" "res_points" "WD" "4.4903122979175"
"21" "resPS_points" "MSE" "18.2934780611"
"21" "resPS_points" "MAE" "3.35035780504924"
"21" "resPS_points" "elpd" "113.318845007609"
"21" "resPS_points" "WD" "20.2507566364369"
"21" "res_pointsareas" "MSE" "1.39818306039145"
"21" "res_pointsareas" "MAE" "0.944712920813393"
"21" "res_pointsareas" "elpd" "0.367345612158704"
"21" "res_pointsareas" "WD" "2.93500853937617"
"21" "resPS_pointsareas" "MSE" "6.66374715122385"
"21" "resPS_pointsareas" "MAE" "2.04952367730008"
"21" "resPS_pointsareas" "elpd" "149.192638755714"
"21" "resPS_pointsareas" "WD" "7.17891376322281"
"22" "res_points" "MSE" "1.64746712209437"
"22" "res_points" "MAE" "0.990039654446214"
"22" "res_points" "elpd" "0.413724906863053"
"22" "res_points" "WD" "2.49417172684925"
"22" "resPS_points" "MSE" "4.74570011935829"
"22" "resPS_points" "MAE" "1.73865595893526"
"22" "resPS_points" "elpd" "129.793210253272"
"22" "resPS_points" "WD" "5.02320692253896"
"22" "res_pointsareas" "MSE" "1.57575184895382"
"22" "res_pointsareas" "MAE" "0.966916078070434"
"22" "res_pointsareas" "elpd" "0.426200884974098"
"22" "res_pointsareas" "WD" "2.33397076644332"
"22" "resPS_pointsareas" "MSE" "4.33163917379192"
"22" "resPS_pointsareas" "MAE" "1.66066385816676"
"22" "resPS_pointsareas" "elpd" "110.914266123068"
"22" "resPS_pointsareas" "WD" "4.59417452495001"
"23" "res_points" "MSE" "1.79643620355426"
"23" "res_points" "MAE" "0.940541865811329"
"23" "res_points" "elpd" "0.368100949133181"
"23" "res_points" "WD" "2.40814487611389"
"23" "resPS_points" "MSE" "2.16302722535553"
"23" "resPS_points" "MAE" "0.9779682435624"
"23" "resPS_points" "elpd" "16.8011115875547"
"23" "resPS_points" "WD" "2.8761271062373"
"23" "res_pointsareas" "MSE" "1.32049728586534"
"23" "res_pointsareas" "MAE" "0.855746516282744"
"23" "res_pointsareas" "elpd" "0.379160700241631"
"23" "res_pointsareas" "WD" "1.83073801453825"
"23" "resPS_pointsareas" "MSE" "1.35494485744219"
"23" "resPS_pointsareas" "MAE" "0.858170111492813"
"23" "resPS_pointsareas" "elpd" "15.3627179220867"
"23" "resPS_pointsareas" "WD" "1.88287169290608"
"24" "res_points" "MSE" "1.41430619017811"
"24" "res_points" "MAE" "0.884756800985687"
"24" "res_points" "elpd" "0.315806561369392"
"24" "res_points" "WD" "2.36045976074377"
"24" "resPS_points" "MSE" "14.3583276284036"
"24" "resPS_points" "MAE" "2.61577850536497"
"24" "resPS_points" "elpd" "27.9375412578113"
"24" "resPS_points" "WD" "15.9531860718783"
"24" "res_pointsareas" "MSE" "1.35492074302252"
"24" "res_pointsareas" "MAE" "0.875652782080526"
"24" "res_pointsareas" "elpd" "0.323256596502376"
"24" "res_pointsareas" "WD" "2.11327203379614"
"24" "resPS_pointsareas" "MSE" "2.22736153082543"
"24" "resPS_pointsareas" "MAE" "1.13334288477999"
"24" "resPS_pointsareas" "elpd" "19.8482207452754"
"24" "resPS_pointsareas" "WD" "2.96795286906356"
"25" "res_points" "MSE" "2.16041560805666"
"25" "res_points" "MAE" "1.11466678391428"
"25" "res_points" "elpd" "0.341280470686185"
"25" "res_points" "WD" "2.91622123387611"
