"ID" "Model" "type" "value"
"1" "res_points" "MSE" "3.1482660660939"
"1" "res_points" "MAE" "1.39169471260136"
"1" "res_points" "elpd" "0.183773344886519"
"1" "res_points" "WD" "5.26275658446952"
"1" "resPS_points" "MSE" "3.35895985070913"
"1" "resPS_points" "MAE" "1.42731378557777"
"1" "resPS_points" "elpd" "6.14725744713929"
"1" "resPS_points" "WD" "5.58544056854928"
"1" "res_pointsareas" "MSE" "1.11395253042409"
"1" "res_pointsareas" "MAE" "0.833579226461066"
"1" "res_pointsareas" "elpd" "0.242697806152028"
"1" "res_pointsareas" "WD" "1.5063076154291"
"1" "resPS_pointsareas" "MSE" "1.12087956564419"
"1" "resPS_pointsareas" "MAE" "0.835996799958028"
"1" "resPS_pointsareas" "elpd" "4.36031844087026"
"1" "resPS_pointsareas" "WD" "1.51368682594948"
"2" "res_points" "MSE" "2.2824648548351"
"2" "res_points" "MAE" "1.16805172770596"
"2" "res_points" "elpd" "0.229812208925462"
"2" "res_points" "WD" "5.06455290551269"
"2" "resPS_points" "MSE" "5.14155105826696"
"2" "resPS_points" "MAE" "1.8258445322257"
"2" "resPS_points" "elpd" "5.91887439995626"
"2" "resPS_points" "WD" "8.23008599888753"
"2" "res_pointsareas" "MSE" "0.915725072315947"
"2" "res_pointsareas" "MAE" "0.753775014071895"
"2" "res_pointsareas" "elpd" "0.285704762496806"
"2" "res_pointsareas" "WD" "1.23413793127148"
"2" "resPS_pointsareas" "MSE" "0.919024285044911"
"2" "resPS_pointsareas" "MAE" "0.755105751123238"
"2" "resPS_pointsareas" "elpd" "3.97000624178466"
"2" "resPS_pointsareas" "WD" "1.23726805469858"
"3" "res_points" "MSE" "2.74698232826228"
"3" "res_points" "MAE" "1.29220215153906"
"3" "res_points" "elpd" "0.288005078395157"
"3" "res_points" "WD" "4.19757664842482"
"3" "resPS_points" "MSE" "6.30187841883057"
"3" "resPS_points" "MAE" "2.02772666517366"
"3" "resPS_points" "elpd" "15.9579448007643"
"3" "resPS_points" "WD" "6.70049158982338"
"3" "res_pointsareas" "MSE" "0.986527308224168"
"3" "res_pointsareas" "MAE" "0.793462987264659"
"3" "res_pointsareas" "elpd" "0.313170769304451"
"3" "res_pointsareas" "WD" "1.27569457320177"
"3" "resPS_pointsareas" "MSE" "0.987574248077031"
"3" "resPS_pointsareas" "MAE" "0.793838862736814"
"3" "resPS_pointsareas" "elpd" "3.87830985112519"
"3" "resPS_pointsareas" "WD" "1.2771449957575"
"4" "res_points" "MSE" "3.24119351300236"
"4" "res_points" "MAE" "1.43600500389515"
"4" "res_points" "elpd" "0.293853287949896"
"4" "res_points" "WD" "5.09715876979973"
"4" "resPS_points" "MSE" "4.90193435984913"
"4" "resPS_points" "MAE" "1.77007651540738"
"4" "resPS_points" "elpd" "38.6266330862373"
"4" "resPS_points" "WD" "5.60170635653625"
"4" "res_pointsareas" "MSE" "1.14593129329781"
"4" "res_pointsareas" "MAE" "0.843790752796464"
"4" "res_pointsareas" "elpd" "0.294621601129292"
"4" "res_pointsareas" "WD" "1.4474163382899"
"4" "resPS_pointsareas" "MSE" "1.53263089683123"
"4" "resPS_pointsareas" "MAE" "0.98144479415686"
"4" "resPS_pointsareas" "elpd" "8.42732507236761"
"4" "resPS_pointsareas" "WD" "1.81209233808537"
"5" "res_points" "MSE" "2.09667570830573"
"5" "res_points" "MAE" "1.14104571348512"
"5" "res_points" "elpd" "0.223028430303209"
"5" "res_points" "WD" "3.1236301462525"
"5" "resPS_points" "MSE" "2.35023628125867"
"5" "resPS_points" "MAE" "1.20919449946747"
"5" "resPS_points" "elpd" "6.35426287489386"
"5" "resPS_points" "WD" "3.52804131599704"
"5" "res_pointsareas" "MSE" "1.06391346766921"
"5" "res_pointsareas" "MAE" "0.825390113042985"
"5" "res_pointsareas" "elpd" "0.279863699856287"
"5" "res_pointsareas" "WD" "1.34520063843342"
"5" "resPS_pointsareas" "MSE" "1.06927770246191"
"5" "resPS_pointsareas" "MAE" "0.827592312910044"
"5" "resPS_pointsareas" "elpd" "4.18820901432164"
"5" "resPS_pointsareas" "WD" "1.35025194313611"
"6" "res_points" "MSE" "2.52679589031202"
"6" "res_points" "MAE" "1.25373776751483"
"6" "res_points" "elpd" "0.240927063984066"
"6" "res_points" "WD" "4.05479652214315"
"6" "resPS_points" "MSE" "4.89959752668539"
"6" "resPS_points" "MAE" "1.75549610700672"
"6" "resPS_points" "elpd" "6.49615198318423"
"6" "resPS_points" "WD" "6.7947100604758"
"6" "res_pointsareas" "MSE" "1.13069620836818"
"6" "res_pointsareas" "MAE" "0.842063401469179"
"6" "res_pointsareas" "elpd" "0.274649498117187"
"6" "res_pointsareas" "WD" "1.43008271025267"
"6" "resPS_pointsareas" "MSE" "1.12747393891296"
