"ID" "Model" "type" "value"
"1" "res_points" "MSE" "9.31851660657395"
"1" "res_points" "MAE" "2.39156839521947"
"1" "res_points" "elpd" "0.16611598030871"
"1" "res_points" "WD" "12.8061090432291"
"1" "resPS_points" "MSE" "12.2483778347751"
"1" "resPS_points" "MAE" "2.78875878954571"
"1" "resPS_points" "elpd" "38.0120836818166"
"1" "resPS_points" "WD" "12.6335180379727"
"1" "res_pointsareas" "MSE" "8.77155731421555"
"1" "res_pointsareas" "MAE" "2.32636109564786"
"1" "res_pointsareas" "elpd" "0.174317614817848"
"1" "res_pointsareas" "WD" "11.9665628271188"
"1" "resPS_pointsareas" "MSE" "10.996714679221"
"1" "resPS_pointsareas" "MAE" "2.57354664578015"
"1" "resPS_pointsareas" "elpd" "4.97711093858989"
"1" "resPS_pointsareas" "WD" "1155.08422823027"
"2" "res_points" "MSE" "8.91503055308363"
"2" "res_points" "MAE" "2.37277790154248"
"2" "res_points" "elpd" "0.154812884766338"
"2" "res_points" "WD" "16.7866597904303"
"2" "resPS_points" "MSE" "30.4045721641447"
"2" "resPS_points" "MAE" "4.56083807760869"
"2" "resPS_points" "elpd" "12.2073034240175"
"2" "resPS_points" "WD" "38.881876081995"
"2" "res_pointsareas" "MSE" "8.66439530095163"
"2" "res_pointsareas" "MAE" "2.33285974996236"
"2" "res_pointsareas" "elpd" "0.165311345084734"
"2" "res_pointsareas" "WD" "15.8195972680305"
"2" "resPS_pointsareas" "MSE" "9.43412519959238"
"2" "resPS_pointsareas" "MAE" "2.43913274967819"
"2" "resPS_pointsareas" "elpd" "5.52099445923466"
"2" "resPS_pointsareas" "WD" "15.4092451954673"
"3" "res_points" "MSE" "10.3744419968345"
"3" "res_points" "MAE" "2.53627292139186"
"3" "res_points" "elpd" "0.142925441876488"
"3" "res_points" "WD" "22.429498227367"
"3" "resPS_points" "MSE" "13.1822653698968"
"3" "resPS_points" "MAE" "2.94156145935858"
"3" "resPS_points" "elpd" "32.8124063429915"
"3" "resPS_points" "WD" "14.6617716369875"
"3" "res_pointsareas" "MSE" "9.53218516372307"
"3" "res_pointsareas" "MAE" "2.43976070838943"
"3" "res_pointsareas" "elpd" "0.151252592644422"
"3" "res_pointsareas" "WD" "19.7813456830653"
"3" "resPS_pointsareas" "MSE" "12.2647536378508"
"3" "resPS_pointsareas" "MAE" "2.8309493788044"
"3" "resPS_pointsareas" "elpd" "36.3417469004237"
"3" "resPS_pointsareas" "WD" "13.4907162216661"
"4" "res_points" "MSE" "9.145769844599"
"4" "res_points" "MAE" "2.38847360178061"
"4" "res_points" "elpd" "0.215911339801354"
"4" "res_points" "WD" "15.2078785823475"
"4" "resPS_points" "MSE" "104.269679449048"
"4" "resPS_points" "MAE" "8.86356559433078"
"4" "resPS_points" "elpd" "63.6060710330375"
"4" "resPS_points" "WD" "120.398052069284"
"4" "res_pointsareas" "MSE" "8.57630035311805"
"4" "res_pointsareas" "MAE" "2.33036328923481"
"4" "res_pointsareas" "elpd" "0.220383930794398"
"4" "res_pointsareas" "WD" "13.3424508630566"
"4" "resPS_pointsareas" "MSE" "16.875378287941"
"4" "resPS_pointsareas" "MAE" "3.22091404939698"
"4" "resPS_pointsareas" "elpd" "73.0353724604884"
"4" "resPS_pointsareas" "WD" "19.1235188016595"
"5" "res_points" "MSE" "10.3809326342989"
"5" "res_points" "MAE" "2.56995790696654"
"5" "res_points" "elpd" "0.139222274662453"
"5" "res_points" "WD" "18.7672751338465"
"5" "resPS_points" "MSE" "24.58150321377"
"5" "resPS_points" "MAE" "4.02419260523381"
"5" "resPS_points" "elpd" "19.6029316644321"
"5" "resPS_points" "WD" "29.810051052277"
"5" "res_pointsareas" "MSE" "9.827638491799"
"5" "res_pointsareas" "MAE" "2.50003752205749"
"5" "res_pointsareas" "elpd" "0.147008381770358"
"5" "res_pointsareas" "WD" "17.6714768805929"
"5" "resPS_pointsareas" "MSE" "13.4540669832905"
"5" "resPS_pointsareas" "MAE" "2.95870972922605"
"5" "resPS_pointsareas" "elpd" "22.4119436859346"
"5" "resPS_pointsareas" "WD" "15.0644599386134"
"6" "res_points" "MSE" "8.97496310441373"
"6" "res_points" "MAE" "2.38635050006737"
"6" "res_points" "elpd" "0.128132698772037"
"6" "res_points" "WD" "14.4559825924576"
"6" "resPS_points" "MSE" "19.9743329847849"
"6" "resPS_points" "MAE" "3.60417700629929"
"6" "resPS_points" "elpd" "16.208865339052"
"6" "resPS_points" "WD" "23.5607338963479"
"6" "res_pointsareas" "MSE" "8.98026204738985"
"6" "res_pointsareas" "MAE" "2.38183323105162"
"6" "res_pointsareas" "elpd" "0.140909918718548"
"6" "res_pointsareas" "WD" "14.4675274899724"
"6" "resPS_pointsareas" "MSE" "11.812882200455"
"6" "resPS_pointsareas" "MAE" "2.76295185204191"
"6" "resPS_pointsareas" "elpd" "16.4759708771545"
"6" "resPS_pointsareas" "WD" "12.9290941867007"
"7" "res_points" "MSE" "9.22097225540898"
"7" "res_points" "MAE" "2.46913320259072"
"7" "res_points" "elpd" "0.134956054883228"
"7" "res_points" "WD" "15.4898612627448"
"7" "resPS_points" "MSE" "13.6565101637543"
"7" "resPS_points" "MAE" "3.05862270103692"
"7" "resPS_points" "elpd" "19.4091033398805"
"7" "resPS_points" "WD" "14.1579393970908"
"7" "res_pointsareas" "MSE" "9.21611033398266"
"7" "res_pointsareas" "MAE" "2.46601861196623"
"7" "res_pointsareas" "elpd" "0.144827476460323"
"7" "res_pointsareas" "WD" "15.4245023457124"
"7" "resPS_pointsareas" "MSE" "12.8565274207179"
"7" "resPS_pointsareas" "MAE" "2.9674358307359"
"7" "resPS_pointsareas" "elpd" "17.3886357758716"
"7" "resPS_pointsareas" "WD" "13.3015256359947"
"8" "res_points" "MSE" "9.75593444707016"
"8" "res_points" "MAE" "2.46979334572783"
"8" "res_points" "elpd" "0.166002876048138"
"8" "res_points" "WD" "17.2590659454618"
"8" "resPS_points" "MSE" "15.6959485191909"
"8" "resPS_points" "MAE" "3.2243080981336"
"8" "resPS_points" "elpd" "23.3443325704502"
"8" "resPS_points" "WD" "16.2693301413834"
"8" "res_pointsareas" "MSE" "8.60233414321057"
