"ID" "Model" "type" "value"
"1" "res_points" "MSE" "4.78370091063877"
"1" "res_points" "MAE" "1.74999767001113"
"1" "res_points" "elpd" "0.160237150527598"
"1" "res_points" "WD" "12.6683590262037"
"1" "resPS_points" "MSE" "18.569824611674"
"1" "resPS_points" "MAE" "3.56916077539398"
"1" "resPS_points" "elpd" "1.66458666299085"
"1" "resPS_points" "WD" "33.5014582343962"
"1" "res_pointsareas" "MSE" "2.01031472809077"
"1" "res_pointsareas" "MAE" "1.12909528069602"
"1" "res_pointsareas" "elpd" "0.204540095425893"
"1" "res_pointsareas" "WD" "4.29132264411344"
"1" "resPS_pointsareas" "MSE" "2.03701257503183"
"1" "resPS_pointsareas" "MAE" "1.13845363043107"
"1" "resPS_pointsareas" "elpd" "1.16218353141491"
"1" "resPS_pointsareas" "WD" "3.4810330985112"
"2" "res_points" "MSE" "2.38291960545337"
"2" "res_points" "MAE" "1.24263053443648"
"2" "res_points" "elpd" "0.228790235047379"
"2" "res_points" "WD" "5.90651774353001"
"2" "resPS_points" "MSE" "4.07310155873623"
"2" "resPS_points" "MAE" "1.60813242726962"
"2" "resPS_points" "elpd" "1.32633948263167"
"2" "resPS_points" "WD" "7.61571402822206"
"2" "res_pointsareas" "MSE" "1.71573637618536"
"2" "res_pointsareas" "MAE" "1.0401822216435"
"2" "res_pointsareas" "elpd" "0.356180522715285"
"2" "res_pointsareas" "WD" "2.20678420475407"
"2" "resPS_pointsareas" "MSE" "1.71255209605064"
"2" "resPS_pointsareas" "MAE" "1.03926568103885"
"2" "resPS_pointsareas" "elpd" "1.15256185449447"
"2" "resPS_pointsareas" "WD" "2.19084704337011"
"3" "res_points" "MSE" "4.59898903638823"
"3" "res_points" "MAE" "1.73093154501861"
"3" "res_points" "elpd" "0.193668901102978"
"3" "res_points" "WD" "13.8508793777901"
"3" "resPS_points" "MSE" "3.93719350301699"
"3" "resPS_points" "MAE" "1.60620174447286"
"3" "resPS_points" "elpd" "1.18733144361516"
"3" "resPS_points" "WD" "19.8908574975388"
"3" "res_pointsareas" "MSE" "2.04785640154846"
"3" "res_pointsareas" "MAE" "1.14433253492238"
"3" "res_pointsareas" "elpd" "0.231560851411001"
"3" "res_pointsareas" "WD" "4.2743001118518"
"3" "resPS_pointsareas" "MSE" "2.22380151931198"
"3" "resPS_pointsareas" "MAE" "1.18179951865584"
"3" "resPS_pointsareas" "elpd" "1.09950710697974"
"3" "resPS_pointsareas" "WD" "3.26783391823641"
"4" "res_points" "MSE" "6.91973665222831"
"4" "res_points" "MAE" "2.08121115184556"
"4" "res_points" "elpd" "0.366922931450994"
"4" "res_points" "WD" "9.04738753613657"
"4" "resPS_points" "MSE" "10.3761968083584"
"4" "resPS_points" "MAE" "2.69667852516516"
"4" "resPS_points" "elpd" "2.52625495025994"
"4" "resPS_points" "WD" "19.2917368073648"
"4" "res_pointsareas" "MSE" "1.76418118667015"
"4" "res_pointsareas" "MAE" "1.04222761240968"
"4" "res_pointsareas" "elpd" "0.324316170566957"
"4" "res_pointsareas" "WD" "2.30126655003617"
"4" "resPS_pointsareas" "MSE" "2.03134428260996"
"4" "resPS_pointsareas" "MAE" "1.12261227343862"
"4" "resPS_pointsareas" "elpd" "1.44403363578498"
"4" "resPS_pointsareas" "WD" "2.4031811016156"
"5" "res_points" "MSE" "10.8057831726445"
"5" "res_points" "MAE" "2.78843565100525"
"5" "res_points" "elpd" "0.178976132874646"
"5" "res_points" "WD" "17.9439609598326"
"5" "resPS_points" "MSE" "109.816527259183"
"5" "resPS_points" "MAE" "9.77030670335589"
"5" "resPS_points" "elpd" "4.06892622699104"
"5" "resPS_points" "WD" "134.452150391594"
"5" "res_pointsareas" "MSE" "3.00886529852563"
"5" "res_pointsareas" "MAE" "1.3830865860567"
"5" "res_pointsareas" "elpd" "0.252655687165764"
"5" "res_pointsareas" "WD" "3.55376919529725"
"5" "resPS_pointsareas" "MSE" "3.03216438237238"
"5" "resPS_pointsareas" "MAE" "1.38051635926391"
"5" "resPS_pointsareas" "elpd" "1.21584107846437"
"5" "resPS_pointsareas" "WD" "3.58940014121551"
"6" "res_points" "MSE" "4.07205487301587"
"6" "res_points" "MAE" "1.63747404819846"
"6" "res_points" "elpd" "0.157087125922238"
"6" "res_points" "WD" "6.77599094313072"
"6" "resPS_points" "MSE" "4.51986140962936"
"6" "resPS_points" "MAE" "1.73002963433876"
"6" "resPS_points" "elpd" "1.15638926754825"
"6" "resPS_points" "WD" "6.8729891393022"
"6" "res_pointsareas" "MSE" "1.70716972549015"
"6" "res_pointsareas" "MAE" "1.04327367708883"
"6" "res_pointsareas" "elpd" "0.230648358950248"
