"ID" "Model" "type" "value"
"1" "res_points" "MSE" "2.33440628435895"
"1" "res_points" "MAE" "1.18767082696228"
"1" "res_points" "elpd" "0.190668173954073"
"1" "res_points" "WD" "3.73930831805605"
"1" "resPS_points" "MSE" "3.04977141832991"
"1" "resPS_points" "MAE" "1.37568322919045"
"1" "resPS_points" "elpd" "5.7554947585481"
"1" "resPS_points" "WD" "4.33526983231683"
"1" "res_pointsareas" "MSE" "0.96566098907803"
"1" "res_pointsareas" "MAE" "0.783672059184381"
"1" "res_pointsareas" "elpd" "0.268619564132118"
"1" "res_pointsareas" "WD" "1.27828336119388"
"1" "resPS_pointsareas" "MSE" "0.966499711604473"
"1" "resPS_pointsareas" "MAE" "0.784028340442547"
"1" "resPS_pointsareas" "elpd" "4.59880512043903"
"1" "resPS_pointsareas" "WD" "1.27987221696698"
"2" "res_points" "MSE" "2.94572276897514"
"2" "res_points" "MAE" "1.31946189983389"
"2" "res_points" "elpd" "0.294965631066137"
"2" "res_points" "WD" "5.70705299388726"
"2" "resPS_points" "MSE" "29.8612278181493"
"2" "resPS_points" "MAE" "4.4515959976491"
"2" "resPS_points" "elpd" "10.9692743515947"
"2" "resPS_points" "WD" "35.2899235354835"
"2" "res_pointsareas" "MSE" "0.971956927842759"
"2" "res_pointsareas" "MAE" "0.789334711673185"
"2" "res_pointsareas" "elpd" "0.31225170609024"
"2" "res_pointsareas" "WD" "1.26951643934728"
"2" "resPS_pointsareas" "MSE" "0.974177540532371"
"2" "resPS_pointsareas" "MAE" "0.790224816861039"
"2" "resPS_pointsareas" "elpd" "4.45380457577956"
"2" "resPS_pointsareas" "WD" "1.27197317153998"
"3" "res_points" "MSE" "3.57873894812678"
"3" "res_points" "MAE" "1.50585600277562"
"3" "res_points" "elpd" "0.212097261473386"
"3" "res_points" "WD" "5.81837659341096"
"3" "resPS_points" "MSE" "8.13242905131579"
"3" "resPS_points" "MAE" "2.30698895299942"
"3" "resPS_points" "elpd" "29.3227934423856"
