"ID" "Model" "type" "value"
"1" "res_points" "MSE" "9.01109250865851"
"1" "res_points" "MAE" "2.40260816385346"
"1" "res_points" "elpd" "0.102032207183818"
"1" "res_points" "WD" "30.7174483553143"
"1" "resPS_points" "MSE" "14.3957982461464"
"1" "resPS_points" "MAE" "2.94195356982888"
"1" "resPS_points" "elpd" "1.35902360615947"
"1" "resPS_points" "WD" "37.855581985954"
"1" "res_pointsareas" "MSE" "2.78414382062971"
"1" "res_pointsareas" "MAE" "1.34579282163217"
"1" "res_pointsareas" "elpd" "0.161561704221772"
"1" "res_pointsareas" "WD" "7.79454558653671"
"1" "resPS_pointsareas" "MSE" "2.7865860106034"
"1" "resPS_pointsareas" "MAE" "1.34664885062993"
"1" "resPS_pointsareas" "elpd" "1.02842677734849"
"1" "resPS_pointsareas" "WD" "7.53612542736861"
"2" "res_points" "MSE" "22.2077514531746"
"2" "res_points" "MAE" "3.97285404585873"
"2" "res_points" "elpd" "0.0572260496041827"
"2" "res_points" "WD" "54.4237294644901"
"2" "resPS_points" "MSE" "667.232209307191"
"2" "resPS_points" "MAE" "23.4771643989288"
"2" "resPS_points" "elpd" "3.60675506673861"
"2" "resPS_points" "WD" "869.869592651265"
"2" "res_pointsareas" "MSE" "2.11732352785991"
"2" "res_pointsareas" "MAE" "1.16985828910747"
"2" "res_pointsareas" "elpd" "0.171365170753537"
"2" "res_pointsareas" "WD" "4.14775577032477"
"2" "resPS_pointsareas" "MSE" "2.28851780214791"
"2" "resPS_pointsareas" "MAE" "1.19874081278828"
"2" "resPS_pointsareas" "elpd" "1.1228133767332"
"2" "resPS_pointsareas" "WD" "13.8278591356769"
"3" "res_points" "MSE" "7.39347344924616"
"3" "res_points" "MAE" "2.16140022916854"
"3" "res_points" "elpd" "0.0667404547991353"
"3" "res_points" "WD" "55.0240185381876"
"3" "resPS_points" "MSE" "739.390119536433"
"3" "resPS_points" "MAE" "24.6120824028111"
"3" "resPS_points" "elpd" "1.52149403743935"
"3" "resPS_points" "WD" "1080.05198724798"
"3" "res_pointsareas" "MSE" "3.54136428035113"
"3" "res_pointsareas" "MAE" "1.41253438885006"
"3" "res_pointsareas" "elpd" "0.132221888343833"
"3" "res_pointsareas" "WD" "16.3172129282216"
"3" "resPS_pointsareas" "MSE" "3.42154986021146"
"3" "resPS_pointsareas" "MAE" "1.39799682197338"
"3" "resPS_pointsareas" "elpd" "1.12000126945277"
"3" "resPS_pointsareas" "WD" "15.0108888396194"
