"Model" "MSE" "MAE" "elpd" "WD"
"PS_geo" "0.71203017837609" "0.667294777735727" "0" "1.30731413515114"
"Melding" "0.714724560750756" "0.670641095535757" "0" "1.16630496266782"
"PS_melding" "0.803948519450291" "0.707558630544927" "0" "1.25085923600648"
"PS_geo" "0.729461752014294" "0.667669660383235" "0" "1.38094296810324"
"Melding" "0.795700609660017" "0.704356268001721" "0" "1.20792084095572"
"PS_melding" "0.913367354700231" "0.751384248122434" "0" "1.34400196365676"
"PS_geo" "0.696087944584214" "0.647818540442249" "0" "1.43192254878182"
"Melding" "0.782231920372442" "0.696819159631223" "0" "1.23918221510578"
"PS_melding" "0.853350268703053" "0.738246668272674" "0" "1.11633601596738"
"PS_geo" "0.666168946547062" "0.641941299896465" "0" "1.1657974697225"
"Melding" "0.743526934336753" "0.684829723152092" "0" "1.06308845440168"
"PS_melding" "0.810095296567605" "0.712160351678572" "0" "1.0423851793565"
"PS_geo" "0.706593211711345" "0.662857401323742" "0" "1.2024519990526"
"Melding" "0.789967655461188" "0.706699534960894" "0" "1.15984746503894"
"PS_melding" "0.891770301808656" "0.76168920359586" "0" "1.05628427372225"
"PS_geo" "0.732380475784166" "0.673547358091914" "0" "1.48297282142618"
"Melding" "0.722169583114025" "0.664571521373431" "0" "1.15414930841358"
"PS_melding" "0.903640678557889" "0.745214773955185" "0" "1.3192318086539"
"PS_geo" "0.758622592588548" "0.685565555145253" "0" "1.48543438069871"
"Melding" "0.761598211398512" "0.683978265227445" "0" "1.20852729700668"
"PS_melding" "0.904836529339802" "0.751102836849606" "0" "1.15338016453635"
"PS_geo" "0.859092442868973" "0.721663497503151" "0" "1.55138929758927"
"Melding" "0.915273569359021" "0.748163060145447" "0" "1.37611852237248"
"PS_melding" "1.03712862555649" "0.800333389629458" "0" "1.59685561225212"
"PS_geo" "0.680825584213898" "0.649510451698353" "0" "1.41157242855294"
"Melding" "0.714210133841557" "0.666668959344575" "0" "1.17989372758424"
"PS_melding" "0.804397811353592" "0.70904797586242" "0" "1.28067607336195"
"PS_geo" "0.788539856998488" "0.696503596257699" "0" "1.60119780122938"
"Melding" "0.954575782151636" "0.769464817602112" "0" "1.41166282687784"
"PS_melding" "1.03700426572454" "0.801665799046121" "0" "1.4991585341839"
"PS_geo" "1.31741750176176" "0.916021557877118" "0" "1.42689632777309"
"Melding" "1.00952219612864" "0.794531513223901" "0" "1.31600889831774"
"PS_melding" "1.1629394804969" "0.857514080094297" "0" "1.33713848092165"
"PS_geo" "0.798995458252216" "0.712808312448693" "0" "1.15648988604432"
"Melding" "0.80982397633654" "0.718016017413857" "0" "1.15797476528998"
"PS_melding" "0.936220958477974" "0.768465035234808" "0" "1.20188101052324"
"PS_geo" "0.770926916976046" "0.671525880858413" "0" "1.66669739683111"
"Melding" "0.662114183719235" "0.6329438208467" "0" "1.16786824643502"
"PS_melding" "1.0453279226848" "0.794241845329798" "0" "1.15128504292079"
"PS_geo" "0.648132448173851" "0.63381510063686" "0" "1.34729003958685"
"Melding" "0.846635750229886" "0.730607382009342" "0" "1.38084815633259"
"PS_melding" "0.924985631314029" "0.764291598962923" "0" "1.44328707865496"
"PS_geo" "0.764614824985749" "0.683387778481831" "0" "1.4615324475167"
"Melding" "0.799957385405058" "0.708604745052759" "0" "1.28773753317208"
"PS_melding" "0.942725546680996" "0.771935640358807" "0" "1.45999213417625"
"PS_geo" "0.926761915829039" "0.767516559451702" "0" "1.73519861549818"
"Melding" "0.75777942560213" "0.69907065278702" "0" "1.15848043607771"
"PS_melding" "0.897759832817416" "0.76065641598414" "0" "1.06216084575238"
"PS_geo" "0.640741645971305" "0.622993390626509" "0" "1.23080807930878"
"Melding" "0.716440099685914" "0.663306808042891" "0" "1.05301193459223"
"PS_melding" "0.888355238750314" "0.742187884642398" "0" "1.28155962922375"
"PS_geo" "0.842019794927468" "0.707980384841093" "0" "1.59712657235564"
"Melding" "0.86842299615824" "0.718964731200941" "0" "1.328869140398"
"PS_melding" "1.02234494927919" "0.778694825913423" "0" "1.55587534559912"
"PS_geo" "0.711775447833056" "0.665764803166569" "0" "1.28060566360003"
"Melding" "0.727732032333765" "0.675682648672811" "0" "1.0673539189921"
"PS_melding" "0.7953187960982" "0.705975602550593" "0" "1.0786253874246"
"PS_geo" "0.701191707815657" "0.662357702827689" "0" "1.46609381587229"
"Melding" "0.698003669217873" "0.665321376346668" "0" "1.125993829341"
"PS_melding" "0.778380775654516" "0.70322513214333" "0" "1.10154501113293"
