"Model" "MSE" "MAE" "elpd" "WD"
"PS_geo" "0.244591580673371" "0.372608020244837" "0" "0.506667466799563"
"Melding" "0.371569538286711" "0.470970821142044" "0" "0.631152906541174"
"PS_melding" "0.323251751396604" "0.440405201501594" "0" "0.516803580030434"
"PS_geo" "0.323846588009908" "0.441193348305587" "0" "0.566947408434592"
"Melding" "0.767748107123763" "0.64727774562271" "0" "1.01698849599307"
"PS_melding" "0.654537419906547" "0.632163740793778" "0" "0.84049926375502"
"PS_geo" "0.244396180099483" "0.384523954778682" "0" "0.486046081601579"
"Melding" "0.331661974273599" "0.441435319374954" "0" "0.596807923099915"
"PS_melding" "0.310866644704313" "0.4373714362996" "0" "0.496679257005872"
"PS_geo" "0.314090609152925" "0.423426492719529" "0" "0.54136102957333"
"Melding" "0.621803100040883" "0.589336183479747" "0" "0.84838844472009"
"PS_melding" "0.644421727278491" "0.603617062987442" "0" "0.815556917482988"
"PS_geo" "0.29728142135757" "0.419732952351978" "0" "0.577358799728344"
"Melding" "0.488056857579075" "0.531200358535324" "0" "0.799857415992092"
"PS_melding" "0.449466989607292" "0.520092865808089" "0" "0.6743140629968"
"PS_geo" "0.259998274005094" "0.381568668577489" "0" "0.592280023331161"
"Melding" "0.484609726643002" "0.515995190508202" "0" "0.849143518426951"
"PS_melding" "0.550687444064504" "0.558142338803192" "0" "0.77215652649048"
"PS_geo" "0.304313635417784" "0.421489368207621" "0" "0.568657521769517"
"Melding" "0.644817841701387" "0.59010943607523" "0" "0.96197436168891"
"PS_melding" "0.599130269792564" "0.588354785140074" "0" "0.808714538804548"
"PS_geo" "0.263906071951545" "0.390479243159178" "0" "0.541292086396357"
"Melding" "0.759803495090329" "0.579219903341632" "0" "1.07080857132471"
"PS_melding" "0.622772873954814" "0.593209283819544" "0" "0.836937941469068"
"PS_geo" "0.294590433278606" "0.414158387761425" "0" "0.608641109956709"
"Melding" "0.558186599185377" "0.568945211952226" "0" "0.917873170420089"
"PS_melding" "0.542835439654863" "0.547290602031896" "0" "0.779195236344335"
"PS_geo" "0.235773004193412" "0.37072061280697" "0" "0.500535978526782"
"Melding" "0.762264346767091" "0.671577653591451" "0" "0.954561397290636"
"PS_melding" "0.341647875193437" "0.45829805874561" "0" "0.548506717172312"
"PS_geo" "0.343372921970618" "0.442128274903753" "0" "0.58457594369447"
