"Model" "MSE" "MAE" "elpd" "WD"
"PS_geo" "0.110174042899631" "0.259574841902886" "0" "0.300955285510542"
"Melding" "0.118691805634712" "0.274290729086679" "0" "0.294772028305591"
"PS_melding" "0.120263501757795" "0.27607921954921" "0" "0.294473190088197"
"PS_geo" "0.0966741536142015" "0.243116978507147" "0" "0.290350925549317"
"Melding" "0.107930239257083" "0.258005577019115" "0" "0.289688593794057"
"PS_melding" "0.130167562151364" "0.282925937620155" "0" "0.310773060160938"
"PS_geo" "0.100775065655672" "0.250710904466446" "0" "0.281878204497718"
"Melding" "0.0996295460274205" "0.246526448229917" "0" "0.277644520734996"
"PS_melding" "0.130598098010365" "0.284851578764931" "0" "0.308248308664374"
"PS_geo" "0.0789394586084137" "0.226964367464394" "0" "0.236481004516179"
"Melding" "0.079492245015763" "0.226293631149887" "0" "0.240720799992909"
"PS_melding" "0.15297923152036" "0.306034420600033" "0" "0.322756008661644"
"PS_geo" "0.0856450703706982" "0.230374664517497" "0" "0.247835058131844"
"Melding" "0.0863663642775448" "0.228376838111909" "0" "0.251881243122176"
"PS_melding" "0.0913164583336548" "0.232942919458416" "0" "0.254387792281639"
"PS_geo" "0.0921300244602104" "0.232212021978685" "0" "0.261881909675899"
"Melding" "0.0910861932474203" "0.232198371499068" "0" "0.260754581566461"
"PS_melding" "0.135432587979183" "0.290582572946392" "0" "0.316110889471708"
"PS_geo" "0.104720555253792" "0.243151941220501" "0" "0.277965885589166"
"Melding" "0.106184854944413" "0.246625788413292" "0" "0.274011866771737"
"PS_melding" "0.118663434453096" "0.264428608017648" "0" "0.28301673215656"
"PS_geo" "0.0771989849253065" "0.223410288980695" "0" "0.253091766882988"
"Melding" "0.0785071660689459" "0.223715769396844" "0" "0.250778366762902"
"PS_melding" "0.131550166137601" "0.287688241749827" "0" "0.312561341246223"
"PS_geo" "0.0843938227395195" "0.227057612903139" "0" "0.25733251821701"
"Melding" "0.090206456270476" "0.234301509169242" "0" "0.256112136235136"
"PS_melding" "0.156514223809688" "0.307809397663964" "0" "0.309870165183126"
"PS_geo" "0.108318937090542" "0.260019321512667" "0" "0.282769059701229"
"Melding" "0.109838796880245" "0.2602617584801" "0" "0.281601230187757"
"PS_melding" "0.140873209529693" "0.291291317713366" "0" "0.312460473719208"
"PS_geo" "0.108264395655261" "0.254441643304354" "0" "0.280825796972838"
"Melding" "0.116417950010589" "0.266091190353175" "0" "0.286060665891223"
"PS_melding" "0.158100605732359" "0.303113836472857" "0" "0.329375661350865"
"PS_geo" "0.102192786954176" "0.251830688708701" "0" "0.285723498193467"
"Melding" "0.103538703817049" "0.25521805284854" "0" "0.285707243170659"
"PS_melding" "0.149988372324418" "0.307191896989959" "0" "0.339365647628008"
