"Model" "MSE" "MAE" "elpd" "WD"
"PS_geo" "0.18413032053557" "0.326679528365626" "0" "0.415053651852122"
"Melding" "0.422439569600735" "0.491453918071359" "0" "0.603885590537421"
"PS_melding" "0.342589058763694" "0.444879215326397" "0" "0.50720371149014"
"PS_geo" "0.219677120131194" "0.349219744251934" "0" "0.42266926470595"
"Melding" "0.429460011435346" "0.492970690600788" "0" "0.595650252090294"
"PS_melding" "0.411099111490214" "0.474451036461049" "0" "0.56080612522505"
"PS_geo" "0.238636119755268" "0.372692638554086" "0" "0.46024752575774"
"Melding" "0.309770153583979" "0.432708223057112" "0" "0.538444659272843"
"PS_melding" "0.335958368992185" "0.452698953290006" "0" "0.520992165927546"
"PS_geo" "0.165242147905905" "0.31583924649808" "0" "0.45749992869058"
"Melding" "0.363418724197342" "0.463641247752478" "0" "0.659674962051895"
"PS_melding" "0.54272890836654" "0.577323269187367" "0" "0.744921218130607"
"PS_geo" "0.233692528338323" "0.372253768470176" "0" "0.499893597423573"
"Melding" "0.65191954327872" "0.584361025737561" "0" "0.897111534814665"
"PS_melding" "0.461003122166881" "0.511045675016146" "0" "0.664548966292473"
"PS_geo" "0.188025458246411" "0.332648596340683" "0" "0.413474992278066"
"Melding" "0.478443459520591" "0.506165619689875" "0" "0.713649183227599"
"PS_melding" "0.296316848958234" "0.416690322971183" "0" "0.509885942647487"
"PS_geo" "0.179057955462998" "0.331831783548736" "0" "0.454182374110822"
"Melding" "0.223710819907333" "0.36899113242075" "0" "0.493769395715388"
"PS_melding" "0.335619500277143" "0.456546062754445" "0" "0.599123770092468"
"PS_geo" "0.178712454463921" "0.326295218769319" "0" "0.402547341882288"
"Melding" "0.688892933774841" "0.631378063930339" "0" "0.891780468061348"
"PS_melding" "0.536807252158337" "0.555117702578032" "0" "0.695562258009751"
"PS_geo" "0.224457286168809" "0.348667228409718" "0" "0.508973089118459"
"Melding" "0.3781815974285" "0.452783152987601" "0" "0.670197471136519"
"PS_melding" "0.247076402192828" "0.374340375485013" "0" "0.471902691264687"
"PS_geo" "0.208045877684353" "0.340752907169761" "0" "0.477826765840481"
"Melding" "0.606005251718198" "0.609871928094202" "0" "0.829390693689873"
"PS_melding" "0.402198418202897" "0.495350061761202" "0" "0.587351859013479"
"PS_geo" "0.154878990091605" "0.310620314439599" "0" "0.36736158911499"
"Melding" "0.31666561812612" "0.447627190243515" "0" "0.531579140915046"
"PS_melding" "0.283460251415301" "0.433108519997676" "0" "0.4553825309817"
"PS_geo" "0.293000008770838" "0.425958828986706" "0" "0.60966661441077"
"Melding" "0.445683109675844" "0.509392374517105" "0" "0.754376613147919"
"PS_melding" "0.493936435002136" "0.542903225323649" "0" "0.764367041552958"
"PS_geo" "0.291685934048344" "0.410798407887136" "0" "0.505939416611411"
"Melding" "0.326978398475915" "0.444669775706187" "0" "0.552784908340426"
"PS_melding" "0.317251091567382" "0.446559196263314" "0" "0.512751867905029"
"PS_geo" "0.184370383517316" "0.338498301972976" "0" "0.451085672272393"
"Melding" "0.368709738333573" "0.465578373180283" "0" "0.656546511749424"
"PS_melding" "0.333434650584269" "0.437092569595643" "0" "0.600477822012442"
"PS_geo" "0.206835133657232" "0.339325323460933" "0" "0.429256228732837"
"Melding" "0.247071526111318" "0.366265910428477" "0" "0.486117865591635"
"PS_melding" "0.478960277257463" "0.553155368501103" "0" "0.756746735796104"
"PS_geo" "0.152262984241796" "0.303736152049907" "0" "0.388434544988319"
"Melding" "0.466619391471091" "0.510112693056271" "0" "0.692957112423251"
"PS_melding" "0.332449310538528" "0.443595036346701" "0" "0.491373305719632"
"PS_geo" "0.173409998041114" "0.326584245702895" "0" "0.414669274711685"
"Melding" "0.236264529960308" "0.371482921052272" "0" "0.477763855995137"
"PS_melding" "0.212930658280743" "0.364257888262533" "0" "0.42616198727827"
"PS_geo" "0.182900101901748" "0.32287251187187" "0" "0.42376045426657"
"Melding" "0.391761141772747" "0.456021043794135" "0" "0.639461916536696"
"PS_melding" "0.409598812820999" "0.483638085934132" "0" "0.588723324877921"
"PS_geo" "0.161646370365572" "0.303944569708965" "0" "0.382756340705711"
"Melding" "0.191827724922391" "0.336275989734542" "0" "0.443314407113474"
"PS_melding" "0.268897148227448" "0.412056504361468" "0" "0.458824218178455"
"PS_geo" "0.265467042407994" "0.383547865966919" "0" "0.660359125025412"
"Melding" "0.539560720432209" "0.522133642424104" "0" "0.908561288126372"
"PS_melding" "0.812013824535011" "0.720866879074434" "0" "1.02893151596117"
"PS_geo" "0.363065626988218" "0.460165288817702" "0" "0.577403849306059"
"Melding" "0.78148254064785" "0.657880782132797" "0" "0.963719336607759"
"PS_melding" "0.542848491441008" "0.560384316737125" "0" "0.716844972216724"
"PS_geo" "0.140044979455682" "0.276317547925886" "0" "0.404220634936516"
"Melding" "0.205826174018238" "0.354145087893143" "0" "0.444608410535738"
"PS_melding" "0.180063707875594" "0.32134960147768" "0" "0.401403743973394"
"PS_geo" "0.214132788815453" "0.366148185637002" "0" "0.475191113178812"
"Melding" "0.360239237000906" "0.460599958790671" "0" "0.658065157737252"
"PS_melding" "0.231858897187848" "0.376074286578128" "0" "0.489700851407411"
"PS_geo" "0.265554624161311" "0.361259317041639" "0" "0.58705388446958"
"Melding" "0.812339055712218" "0.584326874575325" "0" "1.10434989122886"
"PS_melding" "0.333851376760314" "0.420188893292106" "0" "0.558788925866048"
"PS_geo" "0.196200141516368" "0.342225594975154" "0" "0.541137391434031"
"Melding" "0.167511908643285" "0.32885639922482" "0" "0.485848789965063"
"PS_melding" "0.206963094775234" "0.363001091400465" "0" "0.456324795457344"
"PS_geo" "0.158239834236269" "0.314736158165389" "0" "0.394030311180277"
"Melding" "0.329580477888596" "0.44617374762987" "0" "0.571352221482039"
"PS_melding" "0.332153197682216" "0.460612959520752" "0" "0.516942806481373"
"PS_geo" "0.215390474319551" "0.352186261387152" "0" "0.464669197084866"
"Melding" "0.469369394548219" "0.491410335136175" "0" "0.72842160580532"
"PS_melding" "0.336314160456457" "0.438986883321252" "0" "0.540808460386658"
"PS_geo" "0.170898742882529" "0.324355856648445" "0" "0.404954727145578"
"Melding" "0.295716212725253" "0.412836193952408" "0" "0.559695865161697"
"PS_melding" "0.210705703158499" "0.36275229264261" "0" "0.43523946263003"
"PS_geo" "0.183517580803097" "0.321576550065474" "0" "0.394823767142999"
"Melding" "0.251357286831443" "0.370884751058869" "0" "0.471684136480067"
"PS_melding" "0.193482225076836" "0.341275543836299" "0" "0.3964107817083"
"PS_geo" "0.191136309826642" "0.349596332174274" "0" "0.471161772131465"
"Melding" "0.341572229134262" "0.438237017333554" "0" "0.618350364567559"
"PS_melding" "0.258984569985253" "0.393561932336279" "0" "0.488782948842247"
"PS_geo" "0.211587690217696" "0.34539487103287" "0" "0.498598609885618"
"Melding" "0.229067593047627" "0.369622270663513" "0" "0.50427977251374"
"PS_melding" "0.258584232496893" "0.401909021750475" "0" "0.529484214452505"
"PS_geo" "0.197920463954113" "0.344443732134191" "0" "0.458495386024765"
"Melding" "0.333770650157518" "0.43527127303499" "0" "0.585194985556533"
"PS_melding" "0.246489193531701" "0.365680270321036" "0" "0.478518551104653"
"PS_geo" "0.16945457695306" "0.318021607508655" "0" "0.430033401171814"
