"mean" "sd" "0.025quant" "0.975quant" "mode"
"b0" 0.717513321337107 0.157658165493934 0.40391457662428 1.03084648543931 0.719025103104105
"Precision for the Gaussian observations" 4.28700556591384 1.35281652356112 2.19573235745943 7.47051759277179 3.75137489197084
"Theta1 for i" -4.42382965291159 0.276816562484277 -4.97523511069015 -3.88497537766254 -4.41219149499377
"Theta2 for i" 3.22833286895597 0.266827535162929 2.70912607261664 3.76009779042653 3.21667044586029
"Beta for k" 1.03530587240594 0.33738548023649 0.370383871200521 1.69975802297496 1.03577034303912
"b0" 0.454775067506119 0.224135292097507 -0.0367236157625895 0.863523652272107 0.49467081190539
"Precision for the Gaussian observations" 3.73652152295149 1.220739403462 1.86949055111791 6.66853620730719 3.22814030616009
"Theta1 for i" -4.09366752399847 0.361264455600905 -4.80630251917683 -3.36882585523513 -4.10383285493576
"Theta2 for i" 2.7259840309947 0.377872438106035 1.9680487843135 3.47139909654439 2.7364887779812
"Beta for k" 0.883989362310422 0.310789998999069 0.277765408193858 1.50236417606981 0.872577928913623
"b0" 0.511301298039733 0.154323319029101 0.206566729839058 0.816754738825624 0.510404365547679
"Precision for the Gaussian observations" 11.0507179947014 5.1006464152121 4.20554711859579 23.8386528530003 8.2778938159527
"Theta1 for i" -4.74922174249361 0.234653348648121 -5.21999078540952 -4.29536898322794 -4.73335835743339
"Theta2 for i" 3.3153180534889 0.21971422135487 2.89181711334924 3.75751959500334 3.29780769904713
"Beta for k" 0.876836552851675 0.312093271333959 0.264768501443449 1.49455326296794 0.871511404572587
"b0" 0.371917722878494 0.172918016928072 0.00307859260847737 0.691797601936558 0.395101435444952
"Precision for the Gaussian observations" 4.06300910875568 1.5429343259742 1.80551287099089 7.79051538589787 3.34800573009235
"Theta1 for i" -4.04959720924264 0.427950738789426 -4.87776305737101 -3.19268827920196 -4.0762042139825
"Theta2 for i" 2.88009225868363 0.399340216768614 2.08180438483726 3.65433797055845 2.90234712629915
"Beta for k" 0.841357907257403 0.314608525866491 0.22790754990006 1.46759161748606 0.829345035468726
"b0" 0.774137435007715 0.253012606675533 0.287916380321737 1.32603925831598 0.755966297283816
"Precision for the Gaussian observations" 2.67276386115728 0.620681428565202 1.64476752227342 4.07673281331888 2.48780612703005
"Theta1 for i" -3.72201433072913 0.304571863658518 -4.30796642650323 -3.1082526145844 -3.74796986901848
"Theta2 for i" 2.58702819296269 0.332305001914187 1.9166847029121 3.22559541855315 2.61667789566045
"Beta for k" 1.07746985047295 0.356308642960418 0.376994417517886 1.78121068592676 1.07437070738705
"b0" 0.616482446692544 0.203701463088728 0.19553979830966 1.01081519073367 0.638372085727951
"Precision for the Gaussian observations" 6.27356401802859 2.19851943613713 2.98774009791308 11.5379029141246 5.30870204610004
"Theta1 for i" -4.29651003938093 0.265823507686609 -4.81745429500701 -3.7702632773425 -4.30146654796939
"Theta2 for i" 3.05736397485543 0.287245766599982 2.49019174562595 3.62180718509354 3.05992963033978
"Beta for k" 0.972046032618651 0.350661122146111 0.27145799339337 1.65337037269855 0.990167950889156
"b0" 0.762326841606309 0.168075134273669 0.422874524251306 1.08683354202094 0.77000386907439
"Precision for the Gaussian observations" 2.51039487704636 0.868002117242562 1.17017041510856 4.54640398311211 2.16505115648548
"Theta1 for i" -4.65256071184341 0.381065473933688 -5.37141855416162 -3.87202501854789 -4.7099805021055
"Theta2 for i" 3.35255724741628 0.315732198130842 2.71121716450519 3.95427204068053 3.38944415283521
"Beta for k" 0.989596820125987 0.317324713700182 0.366220250206068 1.6165218045709 0.986248656602606
"b0" 0.643920762084215 0.169428015346064 0.288747742239873 0.972314585481956 0.656629679869028
"Precision for the Gaussian observations" 2.2912151763456 0.523978040000391 1.43013326992159 3.48278734938568 2.12475947576967
"Theta1 for i" -3.33327649164408 0.536897192626241 -4.40256979016847 -2.28831812570297 -3.3107856729535
"Theta2 for i" 2.52743006928246 0.512171054804204 1.53001563297815 3.54692877867564 2.50701984024717
"Beta for k" 0.967196369460997 0.319601228118776 0.336083567057288 1.59536552349198 0.969978604394941
"b0" 0.469438537219594 0.143734922209629 0.182706730503257 0.748818735594089 0.473792720815136
"Precision for the Gaussian observations" 4.45562550272456 1.63654865348409 2.07479898547663 8.42706807700192 3.68608721259767
"Theta1 for i" -4.68108304226172 0.312566947628627 -5.30849026821741 -4.07760129408131 -4.65886866509058
"Theta2 for i" 3.4471550675155 0.264678055397918 2.93553905570597 3.97795230698857 3.42932323081163
"Beta for k" 0.95899687802311 0.320121719956469 0.332799520410081 1.5941314204606 0.950600098973315
"b0" 0.645015723622321 0.112818608630172 0.412259084323323 0.859179868154452 0.65318756176619
"Precision for the Gaussian observations" 4.59634213414776 1.89803477341743 1.95004733046775 9.28916098037579 3.62598077929937
"Theta1 for i" -4.79150949344072 0.436736894263947 -5.66522175727293 -3.94560591644596 -4.76578766495222
"Theta2 for i" 3.714566427655 0.359267673493714 3.01686046978678 4.43162358779037 3.69666401193187
"Beta for k" 0.984600961238271 0.322757940725257 0.352901095485366 1.62459531116609 0.976809767716231
"b0" 0.628589381559704 0.204030068387884 0.212997799456198 1.00849195194976 0.65799523851546
"Precision for the Gaussian observations" 6.68808718937952 2.4463490404315 3.1705987906166 12.6660578866585 5.50261952299164
"Theta1 for i" -4.8437584290321 0.228697139030399 -5.30082648660828 -4.39976394152144 -4.8315155320841
"Theta2 for i" 3.37372289032294 0.225957358132877 2.93444617764269 3.82475440237597 3.3627018785805
"Beta for k" 0.758145744399168 0.370241654236386 0.0108802713767699 1.46946636950606 0.79173646654407
"b0" 0.932500287078922 0.194565891646521 0.534130657658828 1.31566247406278 0.941939969515635
"Precision for the Gaussian observations" 3.23778243323055 0.869654655779389 1.84544106407921 5.24572833673246 2.93342460292341
"Theta1 for i" -4.01150738237541 0.308565098551446 -4.60585049223403 -3.39069647675599 -4.03611885914676
"Theta2 for i" 2.89353289565129 0.293943045562903 2.30267005447939 3.46029711595557 2.91594749622017
"Beta for k" 0.970801317687456 0.348364944526251 0.287328506160188 1.66013376423387 0.965268058527835
