"Model" "MSE" "MAE" "elpd" "WD"
"PS_geo" "0.124376318454723" "0.27070365134591" "0" "0.281657948621582"
"Melding" "0.235878814471986" "0.342572655725061" "0" "0.402066333825611"
"PS_melding" "0.140833870771952" "0.283435719698565" "0" "0.295063115958927"
"PS_geo" "0.130122558838936" "0.275450490676805" "0" "0.302028447588017"
"Melding" "0.158629432150017" "0.296261898098577" "0" "0.339877750480311"
"PS_melding" "0.130505251026316" "0.275293673445965" "0" "0.299518694095772"
"PS_geo" "0.0965729718359638" "0.24073353462541" "0" "0.298514342576029"
"Melding" "0.137060682512265" "0.282357245554711" "0" "0.358162291933765"
"PS_melding" "0.0984441480419957" "0.244023935979158" "0" "0.291642017813044"
"PS_geo" "0.126782811738056" "0.275435389345136" "0" "0.334788560241166"
"Melding" "0.348083099439321" "0.41019763041459" "0" "0.581992590333159"
"PS_melding" "0.134254408008551" "0.281921659867192" "0" "0.328175998781136"
"PS_geo" "0.147905592975611" "0.280752782929324" "0" "0.352468019033196"
"Melding" "0.189480300224531" "0.308240263174673" "0" "0.426016842100851"
"PS_melding" "0.151051693187378" "0.286165984351438" "0" "0.35811702565982"
"PS_geo" "0.11437862481647" "0.267232012361598" "0" "0.271886283593206"
"Melding" "0.137803147360081" "0.287328170599157" "0" "0.307786314033983"
"PS_melding" "0.114989463010878" "0.267633894129182" "0" "0.271677669288429"
"PS_geo" "0.166141884087332" "0.301947235737908" "0" "0.3358386776882"
"Melding" "0.189112701178079" "0.327074377445975" "0" "0.38412789341609"
"PS_melding" "0.134904720188128" "0.283378085190676" "0" "0.308985190982307"
"PS_geo" "0.144174550186185" "0.28991309447093" "0" "0.309916508148731"
"Melding" "0.217746226909698" "0.338014418891943" "0" "0.394497519539049"
"PS_melding" "0.180752035638731" "0.318304308159462" "0" "0.340083826526388"
"PS_geo" "0.159494021020243" "0.288989517807905" "0" "0.348610921901689"
"Melding" "0.218042483183153" "0.332495710322156" "0" "0.428598860728933"
"PS_melding" "0.161526692301007" "0.292440961029509" "0" "0.348753440798137"
"PS_geo" "0.10410630837794" "0.240591678216701" "0" "0.312576119201958"
"Melding" "0.212027676325002" "0.311183460579422" "0" "0.450402681064501"
"PS_melding" "0.113774282748546" "0.246507990802894" "0" "0.316950319185697"
"PS_geo" "0.113864440528113" "0.265448601325888" "0" "0.279767449675505"
"Melding" "0.196087010136706" "0.333171518574619" "0" "0.379438050293735"
"PS_melding" "0.129073025326225" "0.278118634961949" "0" "0.291718634297915"
"PS_geo" "0.187313325799153" "0.311879529406648" "0" "0.45035053414874"
"Melding" "0.311872039394042" "0.400268538642321" "0" "0.612224467577266"
"PS_melding" "0.165674976267599" "0.300067556472998" "0" "0.404653634347799"
"PS_geo" "0.126631984519795" "0.271861794987622" "0" "0.299568032774209"
"Melding" "0.142498664447719" "0.28631391609147" "0" "0.334791953375309"
"PS_melding" "0.129912106104004" "0.274728686029655" "0" "0.302787950585597"
"PS_geo" "0.0994624381046891" "0.249272301761694" "0" "0.278501363935075"
"Melding" "0.147672636277954" "0.290586349103106" "0" "0.342405097835811"
"PS_melding" "0.103119909664134" "0.253444806575354" "0" "0.281731408799959"
"PS_geo" "0.104522624557894" "0.244333621746086" "0" "0.287901951979408"
"Melding" "0.142829584559716" "0.281271995577328" "0" "0.332534939191136"
"PS_melding" "0.0991698197786423" "0.23549512638638" "0" "0.285426371447046"
"PS_geo" "0.107967512935233" "0.250816709760939" "0" "0.282738708921445"
"Melding" "0.165218992399844" "0.303249273293296" "0" "0.359047972677257"
"PS_melding" "0.110248432633562" "0.255809838895592" "0" "0.276300340112996"
"PS_geo" "0.0840619680415693" "0.225564452192753" "0" "0.266771673045387"
"Melding" "0.111162028904635" "0.255464853336401" "0" "0.308012128324951"
"PS_melding" "0.0833443778484906" "0.224760673228694" "0" "0.26615625892705"
"PS_geo" "0.102991866618097" "0.250262580959782" "0" "0.270733154993242"
"Melding" "0.18325934692374" "0.313338114711251" "0" "0.370393169850106"
"PS_melding" "0.109914988492269" "0.257063678073125" "0" "0.274613588083645"
"PS_geo" "0.0976365057183857" "0.244963346395328" "0" "0.276433724561145"
"Melding" "0.114086425616238" "0.263640702084019" "0" "0.308668192540936"
"PS_melding" "0.0991213272525881" "0.246505591582105" "0" "0.277375193122932"
"PS_geo" "0.188350276699343" "0.320845192529907" "0" "0.409104905853101"
"Melding" "0.290030906759215" "0.378745368701318" "0" "0.531619369946798"
"PS_melding" "0.201776922344842" "0.331881923292739" "0" "0.410821885283104"
"PS_geo" "0.123371644689848" "0.276699301769727" "0" "0.325652587846584"
"Melding" "0.172336927606013" "0.315429813817961" "0" "0.391486395705435"
"PS_melding" "0.123595448406584" "0.27748596297804" "0" "0.31920178933462"
"PS_geo" "0.0862167445426505" "0.223697208789357" "0" "0.256707243898941"
"Melding" "0.117763146603836" "0.25847228323511" "0" "0.297567128811763"
"PS_melding" "0.0844823421776695" "0.222102870949281" "0" "0.255283554718553"
"PS_geo" "0.115344930518414" "0.264237600997182" "0" "0.303286247423269"
"Melding" "0.12032709436324" "0.267812392347489" "0" "0.331955807913328"
"PS_melding" "0.119924028052167" "0.269867486299673" "0" "0.308277283451284"
"PS_geo" "0.132057580752013" "0.259518970437211" "0" "0.34253741400837"
"Melding" "0.223062173288451" "0.306817310765837" "0" "0.452525596769439"
"PS_melding" "0.144793659638749" "0.26254933304837" "0" "0.350391795823099"
"PS_geo" "0.122014365358865" "0.272353049317928" "0" "0.295575121764193"
"Melding" "0.145846160480457" "0.296693895750436" "0" "0.332466850205999"
"PS_melding" "0.12032892864656" "0.271941020147868" "0" "0.292857305970453"
"PS_geo" "0.107011040255054" "0.250768137736788" "0" "0.268506768034657"
"Melding" "0.194116981830445" "0.339312024070501" "0" "0.371107927887098"
"PS_melding" "0.12022310236409" "0.267843389548487" "0" "0.276528095858542"
"PS_geo" "0.108222910845621" "0.25486762443442" "0" "0.281110654259547"
"Melding" "0.155458792234596" "0.28896916148803" "0" "0.340219981147855"
"PS_melding" "0.116669186159841" "0.262238525820794" "0" "0.28940775125298"
"PS_geo" "0.107822698369143" "0.249727159279015" "0" "0.295324647954448"
"Melding" "0.156069896968399" "0.291618558072483" "0" "0.361277757657481"
"PS_melding" "0.10376900653881" "0.246150210495925" "0" "0.291598836734418"
"PS_geo" "0.0900157070384" "0.234024388238864" "0" "0.251247120079219"
"Melding" "0.109896307077771" "0.25478407140216" "0" "0.279439560381679"
"PS_melding" "0.0869026395365371" "0.230234624388513" "0" "0.250026421437729"
"PS_geo" "0.111451994953673" "0.263466050465816" "0" "0.303897879975924"
"Melding" "0.253024782023281" "0.364739315705211" "0" "0.466426644992194"
"PS_melding" "0.126232046358149" "0.27773790078105" "0" "0.314138541107431"
"PS_geo" "0.102395612079123" "0.235887895992184" "0" "0.290066509407027"
"Melding" "0.115195800879476" "0.252744200351815" "0" "0.311966588094567"
"PS_melding" "0.1114293687444" "0.238879575754379" "0" "0.296695286740242"
