"mean" "sd" "0.025quant" "0.975quant" "mode"
"b0" 0.0350473955732629 0.0926432335304004 -0.146462907800462 0.218581384485698 0.034033296188374
"b0pp" 4.25906482852265 0.145201890424976 3.96413694328996 4.53298688490657 4.2719135674513
"Precision for the Gaussian observations" 2.26103139627001 0.360146874690103 1.63581600658892 3.05499528260119 2.17379232356126
"Theta1 for i" -4.65286764943813 0.294145075863487 -5.23315139715007 -4.06986319946327 -4.65535740169419
"Theta2 for i" 3.56420861428205 0.222477407604388 3.12317595837277 4.00286008944062 3.56637011354014
"Beta for j" 0.93099595473392 0.14175294002884 0.649563366758965 1.20951432652265 0.933562985441049
"b0" 0.32926962791033 0.110068994138308 0.107856547546324 0.543105386434718 0.33303527308105
"b0pp" 4.20241521908807 0.170138502354026 3.85247996864564 4.52017861930684 4.22188969994946
"Precision for the Gaussian observations" 1.93936585291134 0.249049432030487 1.50813273896938 2.49240982581305 1.86781238361393
"Theta1 for i" -3.92676682811071 0.273193667146663 -4.49475118372658 -3.41153912587841 -3.88284749104973
"Theta2 for i" 3.03996581016563 0.219662511954267 2.62530687166999 3.4960633612369 3.0051847982497
"Beta for j" 1.14790420399066 0.145804038500364 0.848213109237461 1.42559959460922 1.16753425506004
"b0" 0.159641320547484 0.0925952825213907 -0.0242420614801716 0.341049803539764 0.160886125612145
"b0pp" 4.37682348191249 0.139985207681475 4.0898574941414 4.64005095123981 4.39037972073937
"Precision for the Gaussian observations" 2.031231466984 0.286112031623108 1.52731714245801 2.65304242993357 1.96968076794933
"Theta1 for i" -4.05046888147913 0.382476768555155 -4.83296677280852 -3.32674329882413 -3.99629773716484
"Theta2 for i" 3.26869486911039 0.293058887638883 2.71389883813408 3.86800102979014 3.22763866606582
"Beta for j" 1.0181131699528 0.181473646189207 0.665394078517494 1.38042648221653 1.00911903609866
"b0" 0.234147532594943 0.131963406848996 -0.020781293607179 0.503299813245986 0.227347180601465
"b0pp" 4.31212813221169 0.176201729884916 3.95613350519005 4.65193833543893 4.32179171209469
"Precision for the Gaussian observations" 1.79820866187712 0.239775622517427 1.36597849640243 2.30933585059212 1.76179464943404
"Theta1 for i" -3.76255166071366 0.27633114718368 -4.28771649613798 -3.19939458244862 -3.79778129759545
"Theta2 for i" 2.81387809932742 0.26182169822759 2.28197095145017 3.31337058242806 2.8440012800979
"Beta for j" 1.07743897853094 0.141509981634151 0.804721213423723 1.36263137799837 1.06584978100795
"b0" 0.135329506608414 0.122203381483783 -0.106892864833176 0.377472655585583 0.135072938548514
"b0pp" 4.26257264875869 0.165589933705986 3.92322492894328 4.5740151157561 4.27930567760902
"Precision for the Gaussian observations" 2.25989845832088 0.36660585862071 1.61392394085285 3.05569904756457 2.18907637896126
"Theta1 for i" -4.03256025472137 0.307527812445885 -4.63421984608884 -3.42067043928232 -4.04198254249958
"Theta2 for i" 3.01505943751183 0.257890479596668 2.5026400811738 3.52028716613443 3.02170502265599
"Beta for j" 0.958333632507509 0.145741106604018 0.672001209404399 1.24670293955053 0.95640425695184
"b0" 0.0982832987032967 0.119087462469242 -0.14234718846565 0.330104835189889 0.102708367135701
"b0pp" 4.19223068918836 0.183325504095735 3.81293821219879 4.53409772975865 4.21378575080791
"Precision for the Gaussian observations" 2.60234971683145 0.379672948943117 1.93707077071316 3.43069160693924 2.5169399133792
"Theta1 for i" -3.82111991265771 0.231327634454825 -4.27547699091833 -3.36293050462126 -3.8247213791955
"Theta2 for i" 2.89335944497514 0.227672706016048 2.44290806442127 3.34100721275327 2.89600171027551
"Beta for j" 1.18612728731701 0.145652268048958 0.905922082087959 1.47978461747233 1.17354333029123
"b0" 0.127073243823348 0.114620217474824 -0.100192896278413 0.351964038681883 0.128413968645346
"b0pp" 4.09801797654743 0.169357537617412 3.75232381034168 4.41644545002502 4.11453436773198
"Precision for the Gaussian observations" 1.97564368864377 0.296360330433397 1.45916450907062 2.62510417213126 1.90541959608834
"Theta1 for i" -4.37134759863198 0.2180247415843 -4.80480714593532 -3.94451621105741 -4.36521379434431
"Theta2 for i" 3.25939618660098 0.195245159629642 2.87745013799304 3.64781612682886 3.25339748845261
"Beta for j" 1.04566163882957 0.102469738638692 0.850572443678312 1.25429612422013 1.0331610791688
"b0" 0.146793585078916 0.114468508771005 -0.0824827400089404 0.369767583131118 0.15017393821397
"b0pp" 4.26810997610549 0.166415018983118 3.92466405870749 4.57734135025153 4.28959814683991
"Precision for the Gaussian observations" 1.50199474063218 0.191557553893701 1.15767671774836 1.91115250593874 1.47019718749518
"Theta1 for i" -3.96488303609282 0.270219780604311 -4.50062691120089 -3.43660842018383 -3.95797090842239
"Theta2 for i" 3.06696140674863 0.233426909326662 2.61136698469967 3.53054139684787 3.05958119843113
"Beta for j" 1.11454887242158 0.179285867226136 0.763737877476017 1.46993968320236 1.11029312440207
"b0" -0.0056956608573738 0.0784595899157744 -0.160241692534383 0.148213898145641 -0.00527254624325179
"b0pp" 4.30041218466218 0.133580626387799 4.0321300660626 4.55439498612235 4.30927556313631
"Precision for the Gaussian observations" 2.60161722406106 0.388505344378687 1.92069529908805 3.44979842307792 2.51537569695432
"Theta1 for i" -4.95500292435425 0.31811853472141 -5.5911988941318 -4.33323445391237 -4.94198570796326
"Theta2 for i" 3.84564627636625 0.22141436668337 3.41305096397371 4.28847410645918 3.83646501807708
"Beta for j" 0.844238318420042 0.140103927509835 0.568457955213023 1.12194111292832 0.842545215116835
"b0" 0.156411078921275 0.0769634523655009 0.0021821241902488 0.304964819141483 0.159448469089281
"b0pp" 4.48264144163786 0.119387275212393 4.24056285289262 4.70971665680173 4.49087721763681
"Precision for the Gaussian observations" 1.98629026041763 0.293207734099565 1.46369833366275 2.616864141766 1.93575627432048
"Theta1 for i" -4.48883065532457 0.672752609234471 -5.80888696187883 -3.15969479001639 -4.49725252645776
