"mean" "sd" "0.025quant" "0.975quant" "mode"
"b0" 0.126283854626024 0.131412481049389 -0.134208653048943 0.385236272481672 0.127421272819367
"b0pp" 5.26447365946111 0.116100681153558 5.02931708714648 5.48633494533064 5.27202638374935
"Precision for the Gaussian observations" 4.23696574384132 0.667609044046151 3.07010316252327 5.6929998916808 4.09113191969199
"Theta1 for i" -4.38156862666131 0.145015971229204 -4.6698722686519 -4.09877927025089 -4.37647152898861
"Theta2 for i" 3.12929892160279 0.154887013126603 2.82770796480429 3.43769369813087 3.12300233456739
"Beta for j" 0.721008304424025 0.0649576564666203 0.593084999829675 0.84938773335454 0.720579621055011
"b0" 0.0455761541459255 0.163176719863281 -0.29440704921627 0.352204928534631 0.0626241257004213
"b0pp" 4.99942177638176 0.172940751711648 4.63865386451438 5.32116890047037 5.02029167706027
"Precision for the Gaussian observations" 3.09800470602972 0.384527638130389 2.40584717881714 3.91875625046885 3.03435347707356
"Theta1 for i" -4.00094982033434 0.124739850946381 -4.24302887913164 -3.75132322821496 -4.00805335599768
"Theta2 for i" 2.78746144873233 0.165971039287242 2.45525141886458 3.10940473908592 2.79712295399248
"Beta for j" 0.970031531821656 0.0724998122316574 0.826909341129678 1.11286692466482 0.970306073548058
"b0" 0.250079303450187 0.107351750999152 0.0369439974449846 0.460832177739509 0.251507288557311
"b0pp" 5.29003583837825 0.110371443939263 5.06717920768401 5.50153943598732 5.29640744337475
"Precision for the Gaussian observations" 3.06919115133624 0.429541596416809 2.30538945104609 3.99570074839774 2.98856711250319
"Theta1 for i" -4.05564110846304 0.178975129744139 -4.40058815670681 -3.69544364716195 -4.06991274946853
"Theta2 for i" 3.08663316227459 0.170023230537659 2.74501181818076 3.41496077125681 3.09909339684081
"Beta for j" 0.857123550300146 0.0874824457968952 0.682577955238533 1.02751155990541 0.861037314203499
"b0" 0.295274643896883 0.135693355997027 0.0248490710846978 0.562280703254367 0.297333803885721
"b0pp" 5.2826287091661 0.127359648748121 5.02396597890987 5.52633221829732 5.29143545845479
"Precision for the Gaussian observations" 3.3663674291901 0.478549238209196 2.51479381132923 4.39729913096524 3.27899134089241
"Theta1 for i" -4.046348182753 0.159937282030117 -4.36307490824689 -3.73228088756589 -4.04383766102391
"Theta2 for i" 2.90893679094305 0.165839457092829 2.58373152205273 3.23772417104761 2.90555401075069
"Beta for j" 0.802552246339243 0.0886435047699086 0.626060061727295 0.975556977264348 0.805841648892139
"b0" 0.0551352135968422 0.132698212800274 -0.213328785336501 0.310809730626042 0.0619353994997432
"b0pp" 5.16771430725252 0.124702255612145 4.91324178393259 5.40335153791848 5.17849797559225
"Precision for the Gaussian observations" 4.44066647017332 0.654637989340376 3.2733798000591 5.84662926684282 4.32905674430191
"Theta1 for i" -4.37236539382737 0.136684555404926 -4.64267609641162 -4.10426678668303 -4.37030493979728
"Theta2 for i" 3.10755610673597 0.150984830228663 2.81266167008203 3.40740603568875 3.10294601347694
"Beta for j" 0.769439528803165 0.0618589246862599 0.647660862019975 0.891756621011185 0.768936331093793
"b0" 0.316819359626824 0.160838966971506 -0.00660846979350804 0.631429149372597 0.321546511447303
"b0pp" 5.13593806973848 0.153631195829788 4.82532971401964 5.43208846818024 5.14446219687224
"Precision for the Gaussian observations" 2.92175976131153 0.376604678684903 2.25186880156695 3.73329892620533 2.84768665679135
"Theta1 for i" -4.1552782939169 0.130346030179961 -4.40795645496299 -3.89478693607108 -4.16250353643173
"Theta2 for i" 2.86913029976012 0.162900131522902 2.54381881524222 3.18514081191961 2.87773625456689
"Beta for j" 0.862193612097676 0.0664210137806088 0.73122218921209 0.993194230644084 0.862161491583543
"b0" 0.112127073354796 0.115797880877699 -0.122495771647063 0.334460300139152 0.118624441550842
"b0pp" 5.2863904643605 0.106195712724698 5.06823847009643 5.48513381822846 5.2975272969954
"Precision for the Gaussian observations" 4.10412734370166 0.649656009848114 2.96797661180179 5.52122077840445 3.96333237191641
"Theta1 for i" -4.34937915193264 0.177395133795024 -4.69845323808819 -3.99948708457939 -4.35015859234448
"Theta2 for i" 3.2009480818618 0.168671568051652 2.86881196963631 3.53341806418322 3.20062300913111
"Beta for j" 0.690925376261085 0.082745652985563 0.528200154201975 0.854485559054058 0.690132587364273
"b0" 0.276648388592755 0.140823879267877 -0.0159004634003675 0.540810460004239 0.291235811170197
"b0pp" 5.06517444715941 0.14914258950117 4.75591383899444 5.34278548910664 5.08258777217236
"Precision for the Gaussian observations" 3.06283408000879 0.414086155170765 2.32284325964851 3.95184658594179 2.98972657315185
"Theta1 for i" -4.12202289677283 0.140869406886047 -4.3931735592466 -3.8378739466162 -4.13412184910697
"Theta2 for i" 2.96866363485748 0.160865176394542 2.64455614683497 3.27865215279099 2.98184327592823
"Beta for j" 0.954079831080698 0.0793019692317785 0.797348158638867 1.11014273402795 0.954713277187901
"b0" 0.166603643500633 0.114347316802046 -0.0603997431083013 0.391002286593334 0.16834669624694
"b0pp" 5.29347926985425 0.108303614330231 5.07423614420108 5.5003239123303 5.30065998234664
"Precision for the Gaussian observations" 3.51012549406311 0.534300228133762 2.5732964935948 4.67425894089693 3.39477719718179
