"Model" "MSE" "MAE" "elpd" "WD"
"PS_geo" "0.522278881140594" "0.548672767660224" "0" "0.773396765247664"
"Melding" "0.596116248371178" "0.608916500563223" "0" "0.859981436141816"
"PS_melding" "0.457149512102472" "0.533246422781766" "0" "0.700261669794382"
"PS_geo" "0.442004008999806" "0.514281389637838" "0" "0.813503859014716"
"Melding" "0.882335476398639" "0.722532023002857" "0" "1.21430910791969"
"PS_melding" "0.809318006264682" "0.717015138801455" "0" "1.02622848072537"
"PS_geo" "0.395811795233273" "0.48393235296977" "0" "0.759701924994905"
"Melding" "0.42117900927937" "0.507662991970976" "0" "0.776214482912454"
"PS_melding" "0.385773996762974" "0.499647648774103" "0" "0.615745274119222"
"PS_geo" "0.392286189295244" "0.490011912385977" "0" "0.706892658308544"
"Melding" "1.47654151677035" "0.899653922133888" "0" "1.77293821466713"
"PS_melding" "0.749616831418556" "0.670230232353954" "0" "0.917815415586169"
"PS_geo" "0.425173080067026" "0.516787247420122" "0" "0.683606576077295"
"Melding" "0.983283293917952" "0.767728088133323" "0" "1.17941430754147"
"PS_melding" "0.57470724124927" "0.605066062180611" "0" "0.765982857976325"
"PS_geo" "0.355213177752272" "0.463001714579585" "0" "0.723257921003749"
"Melding" "0.731461251781552" "0.66039990090034" "0" "1.13107562629254"
"PS_melding" "0.84232973926199" "0.711096570058766" "0" "1.06384883353746"
"PS_geo" "0.422343754693517" "0.505022540482109" "0" "0.856272115780597"
"Melding" "0.867774244387444" "0.71808807951074" "0" "1.28100128017966"
"PS_melding" "0.626543431515413" "0.626220201981139" "0" "0.918342067414423"
"PS_geo" "0.586399053167702" "0.58972905404391" "0" "0.991622792277695"
"Melding" "1.11508269472665" "0.811485449831282" "0" "1.59086763555534"
"PS_melding" "0.801650457774357" "0.688938979400893" "0" "1.10987636672794"
"PS_geo" "0.459926374350371" "0.530394613950333" "0" "0.866448246931457"
"Melding" "1.29830157916311" "0.857029718782597" "0" "1.71620048114444"
"PS_melding" "0.815508308744135" "0.693052433651205" "0" "1.10707582917206"
"PS_geo" "0.37335439680511" "0.48776785966624" "0" "0.854287783578082"
"Melding" "1.38020051924977" "0.828662576571282" "0" "1.82869359782406"
"PS_melding" "0.840199027400565" "0.708319642590737" "0" "1.12823270975162"
"PS_geo" "0.412260763617569" "0.49836454292586" "0" "0.791821677179317"
"Melding" "1.06308525580044" "0.795837570457105" "0" "1.44581510884583"
"PS_melding" "1.05302587009462" "0.787599861265282" "0" "1.26596751320563"
"PS_geo" "0.519351621574494" "0.554748276476147" "0" "0.844603183854507"
"Melding" "0.895796158283709" "0.735618933956939" "0" "1.12976121451289"
"PS_melding" "0.67905773796503" "0.637305650386715" "0" "0.882845543460493"
