"mean" "sd" "0.025quant" "0.975quant" "mode"
"b0" 0.47744534178336 0.202463743693806 0.0303074350361456 0.837340754208178 0.521875934199791
"b0pp" 4.52060881182357 0.126328951999391 4.25356970746879 4.75287751905746 4.53708917115612
"Precision for the Gaussian observations" 4.37742671619246 1.13905278484833 2.51299326368277 6.9695277058099 4.02426660006246
"Theta1 for i" -3.23513485368694 0.299041835750324 -3.80031073397767 -2.62320601993615 -3.27853436384525
"Theta2 for i" 2.22912512937445 0.342835444590138 1.5277604757817 2.87726646766195 2.27853890205434
"Beta for j" 0.271817523595591 0.151455182730024 -0.0238643192474154 0.572912402097048 0.266732093525257
"b0" 0.0755229203182494 0.152995136235497 -0.232251890948299 0.374233082754102 0.0806440080883499
"b0pp" 4.57607869148396 0.105689630965138 4.36620355078257 4.78113830577509 4.57851772496417
"Precision for the Gaussian observations" 16.0090457736189 8.99439144699942 5.02661544439357 39.2057635594998 10.6081186799283
"Theta1 for i" -4.18250779697862 0.212530279738038 -4.60878697448871 -3.77136076911599 -4.16832229792238
"Theta2 for i" 2.97870092693 0.215382355730322 2.56297349804281 3.41162611524696 2.96258869316396
"Beta for j" 0.15424778050602 0.113900540241168 -0.0691181227948991 0.379725801045687 0.152254613238393
"b0" 0.335114487842119 0.299972530354097 -0.179316636287419 1.00919042255286 0.24920608896238
"b0pp" 4.62861790994763 0.112169258776326 4.41341495941793 4.8549870732412 4.62378563027151
"Precision for the Gaussian observations" 4.67182443254857 1.4762912070577 2.39351816875496 8.15047920612228 4.08353052057241
"Theta1 for i" -3.49233077872985 0.256759418956336 -3.99217819768098 -2.98049433590088 -3.50357775725491
"Theta2 for i" 2.16097999617041 0.331151348784756 1.50222236701405 2.80704254774894 2.17290150034083
"Beta for j" 0.140836505662539 0.110340613609868 -0.072682297838646 0.362060455847015 0.133620775139518
"b0" -0.213958287526943 0.201996289934605 -0.601695663005028 0.200982314419713 -0.227611741764515
"b0pp" 4.5970782860448 0.105713967833113 4.38854542085247 4.80370879188044 4.59799141199865
"Precision for the Gaussian observations" 14.1028820376054 7.60278851700029 5.02201014545009 33.8554014700025 9.52598015867194
"Theta1 for i" -4.14955898474037 0.185211501181283 -4.52257050462651 -3.79293508244669 -4.13424316088398
"Theta2 for i" 2.78750149420869 0.216437780086247 2.36798918517494 3.22086311886386 2.7745016561245
"Beta for j" 0.145905236046766 0.109784137756453 -0.0703702475693944 0.362284849716241 0.145799484022616
"b0" 0.264504922651233 0.193115483615519 -0.125268878832605 0.63698241824996 0.270534471747117
"b0pp" 4.58926137965087 0.102845630056889 4.38655039338061 4.7901107061553 4.59021156879549
"Precision for the Gaussian observations" 11.0483121097145 6.47340521926432 3.5200405688519 27.9750981199086 7.09330724508598
"Theta1 for i" -4.34654164168826 0.258883457889198 -4.87566527816779 -3.85617447119907 -4.31073218149918
"Theta2 for i" 3.02266396113414 0.258268175840647 2.53363486670849 3.5506420229409 2.98665341827268
"Beta for j" 0.0298208058577081 0.135310183743426 -0.238988514799269 0.294423055846524 0.0337958928418072
"b0" -0.141306584599378 0.266950509449832 -0.650405218579272 0.419029640919253 -0.165814901717492
"b0pp" 4.59792993588808 0.105484542853804 4.39101029722257 4.80533416856498 4.5977585065559
"Precision for the Gaussian observations" 6.03601124583382 2.00318667402874 2.96780502417251 10.7729905553193 5.21987525735489
"Theta1 for i" -3.57828653908535 0.226478956698426 -4.0147599907338 -3.12237963730499 -3.59648595019489
