"mean" "sd" "0.025quant" "0.975quant" "mode"
"b0" 0.210471449049074 0.162270934013977 -0.084532552291498 0.565030047620434 0.183121690202764
"Precision for the Gaussian observations" 4.83792869098725 0.527206708459151 3.87122575660378 5.94592808309117 4.77317179781221
"Theta1 for i" -2.88117908197586 0.182761894618156 -3.22694270428092 -2.50704644343169 -2.90715492347171
"Theta2 for i" 1.99025418605597 0.32837173950271 1.31174586725217 2.60446386939628 2.04868871845763
"Beta for k" 0.588707282476025 0.225479077003864 0.150388112777619 1.03853081782537 0.578009014162402
"b0" 0.596295992648125 0.141790088527578 0.289372848629472 0.855561523526937 0.618683933703932
"Precision for the Gaussian observations" 4.94241827123086 0.52184548959387 3.98746674724699 6.04136742736618 4.87293705953235
"Theta1 for i" -2.92382545406855 0.175611109383736 -3.2568618843935 -2.56527091766628 -2.94743491455403
"Theta2 for i" 1.95452049107805 0.280427348214259 1.37618760468908 2.47969106346717 2.00338220792624
"Beta for k" 0.539555895201301 0.213668122305393 0.120756078898943 0.963213044339084 0.534962422008489
"b0" 2.04798759593004 0.295506157391195 1.50556021048193 2.67035438774664 2.01971001378156
"Precision for the Gaussian observations" 4.54458165362568 0.560295704465263 3.53115015857553 5.73523725901411 4.45996384784264
"Theta1 for i" -3.14157018038993 0.142620473553305 -3.41552290325634 -2.85369614207043 -3.15457360230517
"Theta2 for i" 1.28816174265513 0.334107960177616 0.573517308121003 1.87998314827703 1.40264834852994
"Beta for k" 1.48975272528275 0.105147491453547 1.28168798731888 1.69598698711449 1.4914759158036
"b0" 0.168574842206343 0.0606525542000344 0.0526639789437761 0.291780315770702 0.165085969256647
"Precision for the Gaussian observations" 5.18430032258247 0.629876106937737 4.03567659661111 6.51366452769324 5.10420613863909
"Theta1 for i" -3.21295211390843 0.164809071527385 -3.5346986136671 -2.88514134943842 -3.21867240662498
"Theta2 for i" 2.21768221666771 0.24912902427569 1.72052720507876 2.70243177104803 2.22937179618643
"Beta for k" -0.535809887015145 0.181917119583378 -0.883774607195141 -0.16735784191227 -0.554901827611672
"b0" 0.131798021893211 0.0703257656178918 0.00213791216459994 0.279362456452468 0.122516020641802
"Precision for the Gaussian observations" 5.70279328661259 0.613280894652033 4.57050806371823 6.98402072105048 5.6403054361942
"Theta1 for i" -3.07118850241052 0.120388709360695 -3.29816226457905 -2.82424912119083 -3.08962945120475
"Theta2 for i" 1.70896183941743 0.257659424675342 1.16336846752569 2.17333937153213 1.78426095714047
"Beta for k" -0.346866791042652 0.131283626708586 -0.599959912219296 -0.0827637363529261 -0.357158592834053
"b0" -0.254432124649163 0.127490156372886 -0.511643340875782 -0.0052351602758573 -0.250557894712668
"Precision for the Gaussian observations" 5.93416806641269 0.681033773807088 4.69519807726075 7.37516562318749 5.83744353374269
"Theta1 for i" -3.02138355296873 0.148624443833813 -3.29831860166375 -2.71367980552757 -3.04961817470441
"Theta2 for i" 1.70355272223596 0.294981589333174 1.08063793425311 2.23820727575731 1.78496969923135
"Beta for k" 0.403240471345636 0.129630988414832 0.152563907502479 0.6632447243822 0.394525053304385
"b0" -0.416834620093807 0.171709453339437 -0.781720338364137 -0.116457898232862 -0.373551095091996
