"Model" "MSE" "MAE" "elpd" "WD"
"PS_geo" "0.596243389114441" "0.607413161703671" "0" "0.937131103663088"
"Melding" "1.05432812216417" "0.798274048025533" "0" "1.49365461981239"
"PS_melding" "0.565333762713889" "0.592449126741341" "0" "0.91850340272369"
"PS_geo" "0.650500818959839" "0.613631609193639" "0" "0.963936955514828"
"Melding" "1.02431800182661" "0.768117460360562" "0" "1.45674885990486"
"PS_melding" "0.636664459216484" "0.606737412934133" "0" "0.954250753514551"
"PS_geo" "0.725501628431666" "0.662277674501778" "0" "1.00047713752191"
"Melding" "1.11122599825111" "0.821922484918402" "0" "1.45357841252003"
"PS_melding" "0.714214672143768" "0.656628395647086" "0" "0.992368635054172"
"PS_geo" "0.721250963835757" "0.667097546767197" "0" "1.04199957281325"
"Melding" "1.25468473780319" "0.872242190924189" "0" "1.66678124402123"
"PS_melding" "0.687763559437873" "0.651207136418269" "0" "1.01557049689161"
"PS_geo" "0.54283166744596" "0.573432143435474" "0" "0.872318460101623"
"Melding" "0.992710992152519" "0.769890469011708" "0" "1.43351248151008"
"PS_melding" "0.557569940661569" "0.582513968316982" "0" "0.879437364082027"
"PS_geo" "0.546946771988824" "0.585551794551966" "0" "0.891238882584668"
"Melding" "0.834850750777343" "0.710431743101945" "0" "1.32569275289682"
"PS_melding" "0.54434513599305" "0.584357445721062" "0" "0.890413281141714"
"PS_geo" "0.652778308059601" "0.632469908846114" "0" "0.92783065956406"
"Melding" "0.961788692701184" "0.762477780546765" "0" "1.31569756983949"
"PS_melding" "0.630844330425965" "0.620752857054462" "0" "0.913715479865417"
"PS_geo" "0.617187817706294" "0.612042138852158" "0" "0.92410234303546"
"Melding" "0.988768797472978" "0.768323884073679" "0" "1.40696437720978"
"PS_melding" "0.607798625102635" "0.606899743260883" "0" "0.916985290986"
"PS_geo" "0.58849630433956" "0.605829542199327" "0" "0.884525166420477"
"Melding" "0.837061460612396" "0.716339219135113" "0" "1.2042585705244"
"PS_melding" "0.562467599098164" "0.592160775366523" "0" "0.865036920033452"
"PS_geo" "0.553384603702947" "0.581610948045394" "0" "0.913621145254782"
"Melding" "0.852773435887047" "0.717690940904856" "0" "1.29229095488353"
"PS_melding" "0.529306870428583" "0.569101902515985" "0" "0.899925763011911"
"PS_geo" "0.615605341304016" "0.617533893296222" "0" "1.04935033911817"
"Melding" "0.886157586566623" "0.730502658085744" "0" "1.45016033594751"
"PS_melding" "0.610632027298148" "0.614492490559626" "0" "1.05999726779949"
"PS_geo" "0.68154483606773" "0.651265964772902" "0" "1.04455007407122"
"Melding" "1.07371879563504" "0.813991748299449" "0" "1.50589619551579"
"PS_melding" "0.643250131074867" "0.632541034087735" "0" "1.01408789875248"
"PS_geo" "0.556280563589003" "0.585568896815381" "0" "0.940695510941841"
"Melding" "0.985032804172593" "0.770163053246364" "0" "1.55788405825796"
"PS_melding" "0.554060012799249" "0.583641941129743" "0" "0.937176684674898"
